wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391274010,0,1789391274003,-0.728864,1.7979,-0.0501351,0
1789391274057,0,1789391274049,-0.728844,1.79778,-0.0501522,0
1789391274108,0,1789391274101,-0.728818,1.79764,-0.0505533,0
1789391274160,0,1789391274153,-0.728807,1.79755,-0.0506137,0
1789391274215,0,1789391274206,-0.728823,1.79749,-0.0501227,0
1789391274259,0,1789391274251,-0.728817,1.79745,-0.0501895,0
1789391274313,0,1789391274306,-0.728822,1.7974,-0.0500503,0
1789391274363,0,1789391274354,-0.72882,1.79736,-0.0502143,0
1789391274412,0,1789391274405,-0.728844,1.79728,-0.050644,0
1789391274466,0,1789391274458,-0.72887,1.79722,-0.0509289,0
1789391274516,0,1789391274510,-0.72894,1.79725,-0.0508841,0
1789391274563,0,1789391274556,-0.728998,1.79727,-0.0508447,0
1789391274622,0,1789391274614,-0.729094,1.79728,-0.0507006,0
1789391274679,0,1789391274672,-0.729197,1.79728,-0.0502552,0
1789391274732,0,1789391274723,-0.729346,1.79714,-0.0497132,0
1789391274776,0,1789391274768,-0.729492,1.79699,-0.0499899,0
1789391274828,0,1789391274820,-0.729564,1.79692,-0.0502709,0
1789391274877,0,1789391274868,-0.729595,1.79691,-0.0499572,0
1789391274934,0,1789391274924,-0.729632,1.79693,-0.0497848,0
1789391274978,0,1789391274969,-0.72968,1.79699,-0.0495779,0
1789391275035,0,1789391275026,-0.729686,1.79704,-0.0498457,0
1789391275081,0,1789391275075,-0.729599,1.79704,-0.0503694,0
1789391275132,0,1789391275124,-0.729526,1.79704,-0.0505291,0
1789391275179,0,1789391275171,-0.72955,1.79705,-0.0505132,0
1789391275230,0,1789391275223,-0.729579,1.79705,-0.050455,0
1789391275283,0,1789391275277,-0.729678,1.79695,-0.0505768,0
1789391275338,0,1789391275330,-0.729782,1.79684,-0.0505569,0
1789391275380,0,1789391275373,-0.729855,1.79688,-0.0510295,0
1789391275429,0,1789391275423,-0.729944,1.79692,-0.0518352,0
1789391275482,0,1789391275474,-0.729996,1.79703,-0.0510117,0
1789391275538,0,1789391275529,-0.730052,1.7972,-0.0509381,0
1789391275582,0,1789391275575,-0.730152,1.79724,-0.0509463,0
1789391275636,0,1789391275627,-0.730341,1.79721,-0.05099,0
1789391275682,0,1789391275674,-0.730477,1.79718,-0.0513996,0
1789391275739,0,1789391275730,-0.730612,1.79719,-0.0516461,0
1789391275784,0,1789391275776,-0.730695,1.79719,-0.0514888,0
1789391275844,0,1789391275835,-0.730733,1.79722,-0.0515504,0
1789391275890,0,1789391275883,-0.730758,1.79725,-0.0516,0
1789391275938,0,1789391275931,-0.730721,1.79724,-0.0521995,0
1789391275995,0,1789391275987,-0.730681,1.79722,-0.0511007,0
1789391276046,0,1789391276035,-0.730675,1.79719,-0.0510844,0
1789391276091,0,1789391276083,-0.730678,1.79717,-0.0508922,0
1789391276149,0,1789391276142,-0.730654,1.7971,-0.0504341,0
1789391276194,0,1789391276186,-0.730632,1.79703,-0.0511771,0
1789391276254,0,1789391276246,-0.730607,1.79699,-0.051566,0
1789391276299,0,1789391276292,-0.730608,1.797,-0.0515547,0
1789391276351,0,1789391276342,-0.730597,1.79698,-0.0512438,0
1789391276395,0,1789391276389,-0.730591,1.79689,-0.0511676,0
1789391276451,0,1789391276443,-0.730586,1.7968,-0.0513806,0
1789391276499,0,1789391276493,-0.73061,1.79684,-0.0513808,0
1789391276550,0,1789391276541,-0.730632,1.79688,-0.051381,0
1789391276593,0,1789391276588,-0.730676,1.79688,-0.0514131,0
1789391276657,0,1789391276647,-0.73074,1.79687,-0.051454,0
1789391276704,0,1789391276695,-0.730753,1.79679,-0.0514617,0
1789391276758,0,1789391276748,-0.730772,1.79668,-0.0515632,0
1789391276810,0,1789391276801,-0.730787,1.7966,-0.0504709,0
1789391276863,0,1789391276852,-0.730816,1.79653,-0.0500921,0
1789391276907,0,1789391276897,-0.730887,1.79654,-0.0501016,0
1789391276954,0,1789391276946,-0.731026,1.79662,-0.0502093,0
1789391277006,0,1789391276997,-0.73106,1.79669,-0.0506264,0
1789391277068,0,1789391277059,-0.730879,1.79676,-0.0513769,0
1789391277115,0,1789391277107,-0.730762,1.7968,-0.0521271,0
1789391277171,0,1789391277162,-0.730826,1.7968,-0.0528543,0
1789391277212,0,1789391277203,-0.730869,1.7968,-0.0528293,0
1789391277268,0,1789391277258,-0.730783,1.79679,-0.0524259,0
1789391277316,0,1789391277308,-0.730695,1.79678,-0.0531102,0
1789391277369,0,1789391277362,-0.730703,1.79694,-0.0521186,0
1789391277431,0,1789391277423,-0.730759,1.79717,-0.051794,0
1789391277479,0,1789391277473,-0.730737,1.79728,-0.0517976,0
