cycle,node,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,trunc_frac,range,clutter_frac,s,w,h,cx,cy,yaw,std_s,std_w,std_h,phi
17,door_3,7309,0,0.538076,1.16308,0.00995078,0.00724463,1.62456e-14,0,0,3.98266,0.0637737,0.747597,0.927589,2.03596,-0.406243,4.60992,-0.014924,0.0369697,0.0109324,0.0107418,0
18,door_3,7307,0,0.537665,1.13181,0.0089557,0.00724442,3.0618e-14,0,0,3.98259,0.0637465,0.742778,0.932408,2.03882,-0.408652,4.60996,-0.014924,0.0349522,0.0107835,0.010637,0
19,door_3,7309,0,0.537549,1.1021,0.00806013,0.00724424,4.44826e-14,0,0,3.98254,0.0637389,0.741727,0.933459,2.04085,-0.409178,4.60997,-0.014924,0.0332988,0.0106412,0.0105439,0
20,door_3,7342,0,0.536899,1.07384,0.00725412,0.00724611,4.72115e-16,0,0,3.98312,0.0637143,0.737648,0.937538,2.04339,-0.411217,4.61,-0.014924,0.0319468,0.0105049,0.010447,0
21,door_3,7351,0,0.536682,1.04698,0.00652871,0.00724697,3.11055e-14,0,0,3.98339,0.0637075,0.738005,0.937182,2.04528,-0.411039,4.60999,-0.014924,0.0307663,0.0103743,0.0103597,0
22,door_3,7340,0,0.536975,1.02148,0.00587584,0.00724587,8.72553e-15,0,0,3.98305,0.0637173,0.738223,0.936963,2.0466,-0.410929,4.60999,-0.014924,0.0298059,0.010249,0.0102793,0
23,door_3,7358,0,0.536539,0.997232,0.00528825,0.00724697,8.25462e-17,0,0,3.98339,0.0636996,0.736723,0.938463,2.04775,-0.411679,4.61,-0.014924,0.0289339,0.0101287,0.0102025,0
24,door_3,7361,0,0.536432,0.974192,0.00475943,0.0072468,0,0,0,3.98334,0.0636924,0.735243,0.939943,2.04872,-0.412419,4.61001,-0.014924,0.0282045,0.0100131,0.0101284,0
25,door_3,7367,0,0.536161,0.95229,0.00428348,0.00724698,6.83996e-16,0,0,3.9834,0.063678,0.733145,0.942041,2.04956,-0.413468,4.61003,-0.014924,0.027577,0.00990196,0.0100569,0
26,door_3,7350,0,0.536473,0.931499,0.00385514,0.00724601,2.98549e-15,0,0,3.98309,0.0636891,0.732604,0.942582,2.04991,-0.413739,4.61003,-0.014924,0.0270168,0.00979493,0.00999071,0
27,door_3,7351,0,0.536331,0.911741,0.00346962,0.00724572,2.69305e-14,0,0,3.983,0.0636791,0.730098,0.945089,2.05018,-0.414992,4.61005,-0.014924,0.0265529,0.00969182,0.00992654,0
28,door_3,7360,0,0.536212,0.892965,0.00312266,0.00724637,4.25567e-15,0,0,3.98321,0.0636767,0.73149,0.943696,2.05059,-0.414296,4.61004,-0.014924,0.0261364,0.00959243,0.00986295,0
29,door_3,6692,0,0.553305,0.875982,0.00281039,0.00724497,3.75709e-15,0,0,3.98277,0.0647162,0.719578,0.9378,2.04988,-0.429154,4.61026,-0.014924,0.0264122,0.00949655,0.00980555,0
31,door_3,1728,0,0.646697,0.864517,0.00252935,0.00705139,6.01384e-05,0,0,3.90232,0.069122,0.731243,0.933524,2.0492,-0.419628,4.61012,-0.014924,0.0268813,0.00940399,0.00974943,0
32,door_3,6965,0,0.548496,0.848716,0.00227642,0.00751284,4.31617e-05,0,0,4.05268,0.0667916,0.733647,0.927727,2.0518,-0.420123,4.61013,-0.014924,0.0270742,0.00930624,0.00967165,0
33,door_3,6886,0,0.53909,0.833235,0.00204878,0.00764638,8.83527e-05,0,0,4.07984,0.0671843,0.740429,0.922616,2.05529,-0.415897,4.61007,-0.014924,0.0273804,0.00921578,0.00958519,0
35,door_3,6677,0,0.558836,0.819515,0.0018439,0.00789346,0.000131926,0,0,4.14172,0.0710484,0.743199,0.917394,2.05867,-0.415738,4.61006,-0.014924,0.0277237,0.00912972,0.0095012,0
36,door_3,6208,0,0.53055,0.805067,0.00165951,0.00797284,0.000102457,0,0,4.17444,0.0692309,0.745085,0.912324,2.05866,-0.416387,4.61007,-0.014924,0.0280317,0.00904594,0.00944723,0
37,door_3,6387,0,0.905456,0.805569,0.0114823,0.00804642,9.91935e-05,0,0,4.19739,0.101399,0.746032,0.917147,2.06227,-0.413028,4.61002,-0.014924,0.0283299,0.00894026,0.00937965,0
38,door_3,6233,0,0.936174,0.806222,0.0233293,0.00803466,2.72681e-05,0,0,4.21527,0.104508,0.74801,0.922506,2.06176,-0.408372,4.60995,-0.014924,0.0283837,0.00883355,0.0093322,0
39,door_3,6237,0,0.948113,0.806931,0.0351145,0.00800836,9.50442e-07,0,0,4.21527,0.105514,0.751342,0.923845,2.06139,-0.404371,4.60989,-0.014924,0.0278825,0.00874038,0.00928545,0
41,door_3,6237,0,0.953603,0.807665,0.0461969,0.00800741,0,0,0,4.21527,0.106117,0.753316,0.921871,2.06106,-0.403384,4.60988,-0.014924,0.0273788,0.00865551,0.00923959,0
42,door_3,6238,0,0.953556,0.808394,0.0560934,0.00800737,1.5787e-14,0,0,4.21526,0.106112,0.752404,0.922783,2.06086,-0.40384,4.60989,-0.014924,0.0269546,0.00857605,0.00919429,0
43,door_3,6238,0,0.953585,0.80912,0.0649306,0.00800736,6.55806e-17,0,0,4.21526,0.106115,0.754241,0.920945,2.06069,-0.402921,4.60987,-0.014924,0.0265802,0.00850005,0.00914986,0
44,door_3,6236,0,0.953597,0.809842,0.072813,0.00800732,6.0643e-17,0,0,4.21525,0.106115,0.755766,0.91942,2.06044,-0.402159,4.60986,-0.014924,0.0262497,0.0084262,0.0091066,0
46,door_3,6240,0,0.953637,0.810561,0.0798393,0.00800736,1.08701e-15,0,0,4.21526,0.10612,0.757082,0.918104,2.06038,-0.401501,4.60985,-0.014924,0.0259415,0.00835348,0.00906364,0
47,door_3,6238,0,0.953679,0.811277,0.0860955,0.00800727,6.06434e-17,0,0,4.21523,0.106123,0.757366,0.917821,2.06034,-0.401359,4.60985,-0.014924,0.0256814,0.00828376,0.00902153,0
48,door_3,6236,0,0.953627,0.811989,0.0916498,0.00800737,3.12984e-16,0,0,4.21526,0.106119,0.75498,0.920206,2.06012,-0.402552,4.60987,-0.014924,0.0254409,0.0082202,0.00898073,0
49,door_3,6239,0,0.953663,0.812697,0.0965814,0.00800731,2.5534e-15,0,0,4.21524,0.106122,0.757356,0.91783,2.0601,-0.401364,4.60985,-0.014924,0.0252244,0.00815593,0.00894017,0
50,door_3,6237,0,0.953654,0.813402,0.100948,0.0080073,3.20994e-15,0,0,4.21524,0.106121,0.753925,0.921261,2.06001,-0.403079,4.60987,-0.014924,0.0250323,0.00809817,0.00890058,0
51,door_3,6238,0,0.953685,0.814103,0.104812,0.00800726,2.3016e-16,0,0,4.21523,0.106124,0.756625,0.918561,2.06001,-0.401729,4.60985,-0.014924,0.0248742,0.00803971,0.00886155,0
52,door_3,6236,0,0.953679,0.814801,0.108218,0.0080072,1.98182e-15,0,0,4.21521,0.106122,0.759153,0.916033,2.05994,-0.400466,4.60984,-0.014924,0.0247306,0.00797887,0.00882344,0
54,door_3,6165,0,0.953653,0.815495,0.111212,0.0080164,7.26317e-07,0,0,4.21772,0.106102,0.758873,0.916313,2.06007,-0.400606,4.60984,-0.014924,0.0248962,0.00792762,0.00878506,0
55,door_3,3462,0,0.952665,0.816181,0.113739,0.00812285,9.57082e-05,0,0,4.22112,0.107133,0.761321,0.913823,2.0594,-0.399403,4.60982,-0.014924,0.0253886,0.00788145,0.0087496,0
56,door_3,4957,0,0.966379,0.816932,0.11731,0.00816384,4.6629e-05,0,0,4.24771,0.109701,0.764658,0.910528,2.05874,-0.397714,4.60979,-0.014924,0.0257044,0.0078356,0.0087148,0
57,door_3,1600,0,1.00759,0.817886,0.124549,0.00821706,0.000204208,0,0,4.21689,0.114764,0.767909,0.907277,2.05809,-0.396088,4.60977,-0.014924,0.0261485,0.00779156,0.00868063,0
58,door_3,5271,0,0.884339,0.818218,0.118706,0.00865637,0.000210822,0,0,4.34326,0.105876,0.771491,0.903696,2.05746,-0.394298,4.60974,-0.014924,0.0265589,0.00774851,0.00864708,0
59,door_3,5622,0,0.850678,0.81838,0.110066,0.00870096,0.000151665,0,0,4.37301,0.102705,0.766243,0.908943,2.06029,-0.396921,4.60978,-0.014924,0.026928,0.00766877,0.00860139,0
60,door_3,2559,0,0.913457,0.818856,0.108519,0.00890782,0.00017649,0,0,4.42474,0.111821,0.768646,0.90654,2.05964,-0.39572,4.60976,-0.014924,0.0272973,0.0076286,0.00856926,0
61,door_3,5173,0,0.883318,0.819178,0.104081,0.00913326,0.000243391,0,0,4.4693,0.110764,0.771293,0.903894,2.06056,-0.394397,4.60974,-0.014924,0.0276679,0.00758943,0.00853343,0
62,door_3,5246,0,0.955246,0.819858,0.107212,0.00910782,0.000148107,0,0,4.4888,0.118633,0.751164,0.924022,2.06287,-0.40446,4.60989,-0.014924,0.0279632,0.00740413,0.00849371,0
63,door_3,4930,0,1.02577,0.820888,0.116979,0.00918189,0.000139573,0,0,4.51174,0.128166,0.754427,0.920759,2.06281,-0.402828,4.60987,-0.014924,0.0282511,0.00736996,0.00846238,0
64,door_3,4874,0,1.05355,0.822051,0.12843,0.00909118,4.99911e-05,0,0,4.51143,0.131009,0.756698,0.918488,2.06216,-0.401693,4.60985,-0.014924,0.028352,0.00733604,0.0084327,0
65,door_3,4907,0,0.955264,0.822717,0.128842,0.00904258,4.49035e-16,0,0,4.51181,0.117462,0.757633,0.917553,2.06191,-0.401226,4.60985,-0.014924,0.0279962,0.00730067,0.00840293,0
66,door_3,4874,0,0.955502,0.823381,0.12917,0.00904174,1.20138e-15,0,0,4.51158,0.11748,0.759766,0.915421,2.0613,-0.400159,4.60983,-0.014924,0.0276738,0.00726646,0.00837426,0
67,door_3,4902,0,0.955979,0.824044,0.129446,0.00904227,2.67704e-16,0,0,4.51173,0.117541,0.761566,0.91362,2.06111,-0.399259,4.60982,-0.014924,0.0273274,0.00723318,0.00834538,0
68,door_3,4884,0,0.956264,0.824705,0.129658,0.00904137,1.35345e-15,0,0,4.51148,0.117565,0.763347,0.911839,2.06061,-0.398369,4.6098,-0.014924,0.0270168,0.00720097,0.00831756,0
69,door_3,4871,0,0.95595,0.825361,0.129751,0.00904196,4.59401e-16,0,0,4.51164,0.117533,0.765022,0.910164,2.06004,-0.397532,4.60979,-0.014924,0.0267101,0.00716967,0.00829033,0
70,door_3,4873,0,0.95595,0.826014,0.129769,0.00904182,2.76148e-15,0,0,4.5116,0.117531,0.766762,0.908425,2.0595,-0.396662,4.60978,-0.014924,0.0264317,0.00713929,0.00826355,0
71,door_3,4862,0,0.95838,0.826676,0.129963,0.00904169,2.73532e-16,0,0,4.51156,0.117815,0.768609,0.906577,2.05894,-0.395738,4.60976,-0.014924,0.0261662,0.00710976,0.00823723,0
72,door_3,4882,0,0.911186,0.827099,0.125375,0.00906228,6.53418e-10,0,0,4.51727,0.112577,0.76231,0.906302,2.05844,-0.402174,4.60986,-0.014924,0.025976,0.00708115,0.00821132,0
73,door_3,3219,0,0.745251,0.823006,0.112838,0.0091174,6.16047e-07,0,0,4.53233,0.0957929,0.7643,0.903592,2.05787,-0.401539,4.60985,-0.014924,0.0263365,0.00705426,0.00818589,0
74,door_3,2117,0,0.807801,0.822246,0.101554,0.00916037,6.73712e-06,0,0,4.54248,0.102753,0.762458,0.90132,2.0573,-0.404517,4.6099,-0.014924,0.0268058,0.00702816,0.00816089,0
76,door_3,3259,0,0.577259,0.809997,0.0913984,0.00955603,2.7786e-06,0,0,4.65114,0.0839351,0.759724,0.899161,2.05675,-0.40833,4.60995,-0.014924,0.0272671,0.0070026,0.0081363,0
77,door_3,2318,0,0.576478,0.798321,0.0822586,0.00968258,4.57522e-06,0,0,4.68455,0.0849039,0.762195,0.896634,2.0562,-0.407122,4.60993,-0.014924,0.0277207,0.00697757,0.00811211,0
