cycle,node,L,p_exists,cx,cy,inroom,roomprior_loaded,won,since_det,sil_occ,sil_free,sil_free_eff,n_detectable,n_total,n_occluded,resolvability,central_frac,p_detect,oblq,remove_streak,obs_top_z,obs_top_conf,trunc,gated,gate_fresh
2100,door_2,4,0.982014,0.722799,2.538,1,1,1,0,261,69,0,330,420,90,0.90303,1,0.709524,0.968271,0,2.02286,0.833917,0,0,1
2160,door_2,-4,0.0179862,0.723077,2.538,1,1,1,6,88,212,136.286,300,420,120,0.9,1,0.642857,0.965155,1.92857,2.01992,0.985095,0,0,0
2220,door_3,4,0.982014,-0.473086,4.61092,1,1,1,0,420,0,0,420,420,0,0.547619,1,0.547619,0.99997,0,2.03739,0.641514,0,0,1
2220,door_2,4,0.982014,0.753746,2.538,1,1,1,0,169,161,0,330,420,90,1,1,0.785714,0.962419,0,2.03561,0.999157,0,0,1
2280,door_3,4,0.982014,-0.458898,4.61071,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999984,0,2.03739,0.983485,0,0,1
2280,door_2,4,0.982014,0.764153,2.538,1,1,1,0,168,162,0,330,420,90,1,1,0.785714,0.961837,0,2.03645,0.999961,0,0,1
2340,door_3,4,0.982014,-0.454662,4.61064,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999988,0,2.03739,0.999239,0,0,1
2340,door_2,4,0.982014,0.771756,2.538,1,1,1,0,179,151,0,330,420,90,0.909091,1,0.714286,0.96141,0,2.03649,0.999998,0,0,1
2400,door_3,4,0.982014,-0.453043,4.61062,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999965,0,0,1
2400,door_2,4,0.982014,0.776473,2.538,1,1,1,0,181,149,0,330,420,90,0.912121,1,0.716667,0.961144,0,2.03649,0.999999,0,0,1
2460,door_3,4,0.982014,-0.452651,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999998,0,0,1
2460,door_2,4,0.982014,0.77944,2.538,1,1,1,0,181,149,0,330,420,90,0.912121,1,0.716667,0.960976,0,2.03649,0.999999,0,0,1
2520,door_3,4,0.982014,-0.452565,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999999,0,0,1
2520,door_2,4,0.982014,0.781276,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.960872,0,2.03649,0.999999,0,0,1
2580,door_3,4,0.982014,-0.452351,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.99999,0,2.03739,0.999999,0,0,1
2580,door_2,4,0.982014,0.782499,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.960803,0,2.03649,0.999999,0,0,1
2640,door_3,4,0.982014,-0.452591,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999999,0,0,1
2640,door_2,4,0.982014,0.783237,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.960761,0,2.03649,0.999999,0,0,1
2700,door_3,4,0.982014,-0.452545,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999999,0,0,1
2700,door_2,4,0.982014,0.783725,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.960734,0,2.03649,0.999999,0,0,1
2760,door_3,4,0.982014,-0.452385,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999999,0,0,1
2760,door_2,4,0.982014,0.784009,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.960717,0,2.03649,0.999999,0,0,1
2820,door_3,4,0.982014,-0.452318,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.99999,0,2.03739,0.999999,0,0,1
2820,door_2,4,0.982014,0.784192,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.960707,0,2.03649,0.999999,0,0,1
2880,door_3,4,0.982014,-0.452618,4.61061,1,1,1,0,420,0,0,420,420,0,0.602381,1,0.602381,0.999989,0,2.03739,0.999999,0,0,1
2880,door_2,4,0.982014,0.784315,2.538,1,1,1,0,183,177,0,360,420,60,0.919444,1,0.788095,0.9607,0,2.03649,0.999999,0,0,1
2940,door_3,4,0.982014,-0.496712,4.61127,1,1,1,0,420,0,0,420,420,0,0.769048,1,0.769048,0.999995,0,2.03473,0.999999,0,0,1
2940,door_2,-4,0.0179862,0.784347,2.538,1,1,0,31,0,150,53.5714,150,420,270,1,1,0.357143,0.938942,11.7881,2.03649,0.999999,0,0,0
3000,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,54,0,0,0,0,420,0,0,0,0,0.999993,0,2.0361,0.999999,0,0,0
3000,door_2,-4,0.0179862,0.784589,2.538,1,1,0,60,0,0,0,0,420,0,0,0,0,0.939084,12.9309,2.02357,0.999999,0,0,0
3060,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,127,0,0,0,0,420,0,0,0,0,0.999993,0,2.0361,0.999999,0,0,0
3060,door_2,-4,0.0179862,0.784589,2.538,1,1,0,133,0,0,0,0,420,0,0,0,0,0.939084,12.9309,2.02357,0.999999,0,0,0
3120,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,197,0,0,0,0,420,0,0,0,0,0.999993,0,2.0361,0.999999,0,0,0
3120,door_2,-4,0.0179862,0.784589,2.538,1,1,0,203,0,0,0,0,420,0,0,0,0,0.939085,12.9309,2.02357,0.999999,0,0,0
3180,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,267,0,0,0,0,420,0,0,0,0,0.999993,0,2.0361,0.999999,0,0,0
3180,door_2,-4,0.0179862,0.784589,2.538,1,1,0,273,0,0,0,0,420,0,0,0,0,0.939085,12.9309,2.02357,0.999999,0,0,0
3240,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,339,0,0,0,0,420,0,0,0,0,0.999993,0,2.0361,0.999999,0,0,0
3240,door_2,-4,0.0179862,0.784589,2.538,1,1,0,345,0,0,0,0,420,0,0,0,0,0.939085,12.9309,2.02357,0.999999,0,0,0
3300,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,411,0,0,0,0,420,0,0,0,0,0.999993,0,2.0361,0.999999,0,0,0
3300,door_2,-4,0.0179862,0.784589,2.538,1,1,0,417,0,0,0,0,420,0,0,0,0,0.939085,12.9309,2.02357,0.999999,0,0,0
3360,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,486,0,0,0,0,420,0,0,0,0,0.99516,0,2.0361,0.999999,0,0,0
3360,door_2,-4,0.0179862,0.784589,2.538,1,1,0,492,0,0,0,0,420,0,0,0,0,0.896652,12.9309,2.02357,0.999999,0,0,0
3420,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,554,0,90,0,90,420,0,1,0,0,0.97885,0,2.0361,0.999999,0,0,0
3420,door_2,-4,0.0179862,0.784589,2.538,1,1,0,560,0,0,0,0,420,0,0,0,0,0.820259,12.9309,2.02357,0.999999,0,0,0
3480,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,619,0,90,0,90,420,0,1,0,0,0.97885,0,2.0361,0.999999,0,0,0
3480,door_2,-4,0.0179862,0.784589,2.538,1,1,0,625,0,0,0,0,420,0,0,0,0,0.820259,12.9309,2.02357,0.999999,0,0,0
3540,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,683,0,90,0,90,420,0,1,0,0,0.978851,0,2.0361,0.999999,0,0,0
3540,door_2,-4,0.0179862,0.784589,2.538,1,1,0,689,0,0,0,0,420,0,0,0,0,0.82026,12.9309,2.02357,0.999999,0,0,0
3600,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,750,0,0,0,0,420,0,0,0,0,0.965333,0,2.0361,0.999999,0,0,0
3600,door_2,-4,0.0179862,0.784589,2.538,1,1,0,756,0,0,0,0,420,0,0,0,0,0.767601,12.9309,2.02357,0.999999,0,0,0
3660,door_3,3.22665,0.961825,-0.518225,4.61159,1,1,0,827,0,0,0,0,420,0,0,0,0,0.96137,0,2.0361,0.999999,0,0,0
3660,door_2,-4,0.0179862,0.784589,2.538,1,1,0,833,0,0,0,0,420,0,0,0,0,0.753259,12.9309,2.02357,0.999999,0,0,0
3720,door_2,-4,0.0179862,0.784589,2.538,1,1,0,899,0,0,0,0,420,420,0,0,0,0.65528,12.9309,2.02357,0.999999,0,0,0
3780,door_2,-4,0.0179862,0.784589,2.538,1,1,0,959,0,0,0,0,420,420,0,0,0,0.711162,12.9309,2.02357,0.999999,0,0,0
3840,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1037,0,0,0,0,420,420,0,0,0,0.829027,12.9309,2.02357,0.999999,0,0,0
3900,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1116,0,0,0,0,420,420,0,0,0,0.907275,12.9309,2.02357,0.999999,0,0,0
3960,door_3,4,0.982014,-0.496075,4.61126,1,1,0,0,0,0,0,0,420,420,0,0,0,0.999245,0,2.04993,0.90056,0,0,1
3960,door_2,-4,0.0179862,0.784589,2.538,1,1,0,1185,0,0,0,0,420,240,0,0,0,0.901907,12.9309,2.02357,0.999999,0,0,0
4020,door_3,4,0.982014,-0.394179,4.60974,1,1,1,1,420,0,0,420,420,0,1,0.142857,0.142857,0.999563,0,2.03362,0.99408,0,0,0
