cycle,n_door_slices,slice_idx,npts,conf,cx,cy,range,trunc_frac,motion_var
38,2,4,1816,1,-3.2513,7.12022,4.10191,0,6.57544e-19
38,2,5,2150,1,-4.74685,9.19619,6.19596,0,9.3275e-19
39,2,4,1816,1,-3.2513,7.12022,4.10191,0,8.29049e-16
39,2,5,2150,1,-4.74684,9.19619,6.19596,0,7.15896e-16
40,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.43741e-19
40,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.33873e-18
41,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.43741e-19
41,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.33873e-18
42,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.50445e-18
42,2,5,2150,1,-4.74684,9.19619,6.19596,0,3.55265e-18
43,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.90638e-19
43,2,5,2150,1,-4.74684,9.19619,6.19596,0,4.12281e-19
44,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.90638e-19
44,2,5,2150,1,-4.74684,9.19619,6.19596,0,4.12281e-19
45,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.11309e-18
45,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.57896e-18
46,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.08953e-18
46,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.54554e-18
47,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.25327e-19
47,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.31261e-18
48,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.25327e-19
48,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.31261e-18
49,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.22454e-18
49,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.73706e-18
50,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.07446e-19
50,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.28725e-18
51,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.02318e-18
51,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.45142e-18
52,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.16255e-18
52,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.64912e-18
53,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.00241e-18
53,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.42195e-18
54,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.00241e-18
54,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.42195e-18
55,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.43741e-19
55,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.33873e-18
56,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.11309e-18
56,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.57896e-18
57,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.1446e-18
57,2,5,2150,1,-4.74684,9.19619,6.19596,0,3.04219e-18
58,2,4,1816,1,-3.2513,7.12022,4.10191,0,5.3615e-19
58,2,5,2150,1,-4.74684,9.19619,6.19596,0,7.60548e-19
59,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.6271e-19
59,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.36564e-18
60,2,4,1816,1,-3.2513,7.12022,4.10191,0,7.15451e-19
60,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.01489e-18
61,2,4,1816,1,-3.2513,7.12022,4.10191,0,9.17845e-17
61,2,5,2150,1,-4.74684,9.19619,6.19596,0,2.98662e-19
62,2,4,1816,1,-3.2513,7.12022,4.10191,0,2.08199e-18
62,2,5,2150,1,-4.74684,9.19619,6.19596,0,2.95337e-18
63,2,4,1816,1,-3.2513,7.12022,4.10191,0,5.87592e-19
63,2,5,2150,1,-4.74684,9.19619,6.19596,0,8.3352e-19
64,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.02318e-18
64,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.45142e-18
65,2,4,1816,1,-3.2513,7.12022,4.10191,0,6.46809e-19
65,2,5,2150,1,-4.74684,9.19619,6.19596,0,9.17522e-19
66,2,4,1816,1,-3.2513,7.12022,4.10191,0,3.95591e-19
66,2,5,2150,1,-4.74684,9.19619,6.19596,0,5.6116e-19
67,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.30166e-18
67,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.84646e-18
68,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.44501e-16
68,2,5,2150,1,-4.74684,9.19619,6.19596,0,3.50324e-18
69,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.04461e-18
69,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.48181e-18
70,2,4,1816,1,-3.2513,7.12022,4.10191,0,1.04461e-18
70,2,5,2150,1,-4.74684,9.19619,6.19596,0,1.48181e-18
71,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
71,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
72,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
72,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
73,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
73,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
74,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
74,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
75,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
75,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
76,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
76,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
77,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
77,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
78,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
78,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
79,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
79,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
80,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
80,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
81,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
81,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
82,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
82,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
83,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
83,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
84,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
84,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
85,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
85,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
86,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
86,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
87,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
87,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
88,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
88,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
89,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
89,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
90,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
90,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
91,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
91,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
92,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
92,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
93,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
93,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
94,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
94,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
95,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
95,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
96,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
96,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
97,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
97,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
98,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
98,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
99,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
99,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
100,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
100,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
101,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
101,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
102,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
102,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
103,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
103,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
104,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
104,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
105,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
105,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
106,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
106,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
107,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
107,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
108,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
108,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
109,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
109,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
110,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
110,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
111,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
111,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
112,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
112,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
113,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
113,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
114,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
114,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
115,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
115,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
116,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
116,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
117,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
117,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
118,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
118,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
119,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
119,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
120,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
120,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
121,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
121,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
122,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
122,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
123,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
123,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
124,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
124,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
125,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
125,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
126,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
126,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
127,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
127,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
128,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
128,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
129,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
129,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
130,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
130,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
131,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
131,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
132,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
132,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
133,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
133,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
134,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
134,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
135,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
135,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
136,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
136,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
137,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
137,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
