wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391739454,0,1789391739444,-0.513851,-0.201325,-2.95787,0
1789391739499,0,1789391739488,-0.508559,-0.22834,-2.96143,0
1789391739558,0,1789391739543,-0.502157,-0.262482,-2.96646,0
1789391739594,0,1789391739586,-0.497592,-0.288699,-2.97062,0
1789391739658,0,1789391739648,-0.491471,-0.326198,-2.97693,0
1789391739707,0,1789391739698,-0.486742,-0.356566,-2.98167,0
1789391739762,0,1789391739748,-0.482028,-0.3878,-2.98621,0
1789391739816,0,1789391739805,-0.476853,-0.423491,-2.99105,0
1789391739869,0,1789391739859,-0.471659,-0.457938,-2.99551,0
1789391739946,0,1789391739930,-0.465058,-0.50296,-3.00223,0
1789391740005,0,1789391739996,-0.459989,-0.54454,-3.00884,0
1789391740066,0,1789391740055,-0.455693,-0.582367,-3.01518,0
1789391740138,0,1789391740120,-0.451137,-0.622568,-3.02316,0
1789391740188,0,1789391740179,-0.447201,-0.658646,-3.03119,0
1789391740257,0,1789391740248,-0.44269,-0.701798,-3.04346,0
1789391740317,0,1789391740307,-0.439238,-0.738336,-3.05476,0
1789391740374,0,1789391740365,-0.436161,-0.7736,-3.0655,0
1789391740425,0,1789391740412,-0.434116,-0.799525,-3.07304,0
1789391740481,0,1789391740470,-0.43196,-0.830169,-3.08269,0
1789391740541,0,1789391740530,-0.430714,-0.852048,-3.09157,0
1789391740607,0,1789391740595,-0.430115,-0.864724,-3.10114,0
1789391740664,0,1789391740654,-0.429766,-0.874937,-3.10976,0
1789391740727,0,1789391740719,-0.429475,-0.88674,-3.1194,0
1789391740789,0,1789391740778,-0.429205,-0.896578,-3.12835,0
1789391740853,0,1789391740843,-0.428978,-0.907543,-3.13738,0
1789391740909,0,1789391740901,-0.429005,-0.917237,3.13801,0
1789391740974,0,1789391740962,-0.429167,-0.926593,3.12886,0
1789391741042,0,1789391741031,-0.429347,-0.935035,3.12023,0
1789391741107,0,1789391741097,-0.429365,-0.936198,3.1137,0
1789391741166,0,1789391741156,-0.429421,-0.937899,3.10753,0
1789391741221,0,1789391741212,-0.429502,-0.939064,3.10227,0
1789391741279,0,1789391741270,-0.429609,-0.940701,3.10055,0
1789391741330,0,1789391741321,-0.429648,-0.941609,3.10036,0
1789391741374,0,1789391741366,-0.429664,-0.94228,3.10064,0
1789391741428,0,1789391741417,-0.429588,-0.942249,3.10147,0
1789391741483,0,1789391741473,-0.429505,-0.942215,3.10162,0
1789391741536,0,1789391741524,-0.429514,-0.942319,3.10141,0
1789391741588,0,1789391741579,-0.429524,-0.942432,3.10126,0
1789391741639,0,1789391741628,-0.429474,-0.942474,3.10198,0
1789391741685,0,1789391741676,-0.429418,-0.942509,3.10171,0
1789391741735,0,1789391741725,-0.429357,-0.942515,3.10153,0
1789391741791,0,1789391741781,-0.429284,-0.94251,3.10194,0
1789391741842,0,1789391741831,-0.429305,-0.94253,3.10199,0
1789391741887,0,1789391741877,-0.429392,-0.942568,3.10285,0
1789391741941,0,1789391741929,-0.429466,-0.942588,3.1032,0
1789391741982,0,1789391741973,-0.429482,-0.942567,3.10302,0
1789391742045,0,1789391742035,-0.429508,-0.942533,3.10327,0
1789391742090,0,1789391742079,-0.429536,-0.94249,3.10322,0
1789391742146,0,1789391742136,-0.429571,-0.942434,3.103,0
1789391742195,0,1789391742185,-0.429632,-0.942552,3.10266,0
1789391742259,0,1789391742251,-0.429716,-0.942715,3.10259,0
1789391742322,0,1789391742310,-0.429771,-0.942785,3.10203,0
1789391742382,0,1789391742371,-0.429821,-0.942834,3.1019,0
1789391742434,0,1789391742425,-0.429877,-0.942795,3.10168,0
1789391742494,0,1789391742483,-0.429943,-0.942706,3.10151,0
1789391742540,0,1789391742531,-0.429926,-0.942683,3.1016,0
1789391742591,0,1789391742580,-0.429852,-0.9427,3.10172,0
1789391742637,0,1789391742627,-0.429788,-0.942706,3.10212,0
1789391742704,0,1789391742692,-0.429712,-0.942692,3.10193,0
1789391742747,0,1789391742736,-0.429669,-0.94269,3.10221,0
1789391742795,0,1789391742785,-0.429654,-0.942721,3.10215,0
1789391742839,0,1789391742832,-0.429641,-0.942751,3.10209,0
1789391742896,0,1789391742886,-0.429796,-0.942782,3.10198,0
1789391742950,0,1789391742939,-0.429951,-0.942813,3.10194,0
1789391743012,0,1789391743002,-0.430027,-0.942703,3.1027,0
1789391743053,0,1789391743044,-0.430047,-0.942589,3.10276,0
1789391743107,0,1789391743095,-0.430019,-0.942549,3.10252,0
1789391743158,0,1789391743150,-0.429971,-0.942538,3.10287,0
1789391743223,0,1789391743212,-0.429991,-0.942512,3.10273,0
1789391743267,0,1789391743256,-0.430074,-0.94248,3.10301,0
1789391743315,0,1789391743305,-0.430135,-0.942478,3.10296,0
1789391743360,0,1789391743352,-0.430141,-0.942532,3.10276,0
1789391743415,0,1789391743403,-0.430142,-0.942581,3.10229,0
1789391743458,0,1789391743449,-0.430125,-0.942584,3.10204,0
1789391743526,0,1789391743515,-0.430101,-0.942589,3.10167,0
1789391743583,0,1789391743572,-0.43009,-0.942587,3.10095,0
1789391743642,0,1789391743633,-0.430079,-0.942584,3.10083,0
1789391743689,0,1789391743679,-0.430041,-0.942641,3.1012,0
1789391743754,0,1789391743744,-0.429985,-0.942726,3.10149,0
1789391743797,0,1789391743788,-0.429959,-0.942756,3.10198,0
1789391743848,0,1789391743838,-0.429933,-0.942782,3.10184,0
1789391743892,0,1789391743885,-0.429831,-0.942803,3.10228,0
1789391743945,0,1789391743935,-0.429657,-0.942821,3.10232,0
1789391743988,0,1789391743980,-0.429528,-0.942821,3.10192,0
