frame,nis_pre,n,over,tour_nis_pre,tour_se,tour_n,tour_over_frac,tour_nis_acc,sigma_det,sigma_pred,sigma_model,resid_mean,resid_max,ori_mean,ori_min,line_sigma_phi_deg,line_sigma_d_m,npts,resid_sig_m,lever_m,corner_angle_deg,corners_in_fov,accepted,rej_dist
28,1.24542,10,2,1.18225,0.0562544,316,0.170886,0.52653,0.124533,0.0480843,0.04,0.0362858,0.0885351,0.795519,1.54617e-07,9.16846,0.953035,271.109,0.044726,2.58967,108.856,12,8,3
29,1.19625,10,2,1.18268,0.0553849,326,0.171779,0.524757,0.122005,0.0469893,0.04,0.0351372,0.0782604,0.796474,1.54617e-07,8.93693,0.925065,271.54,0.0447246,2.58413,108.728,12,8,3
30,1.24928,11,2,1.18485,0.0544735,337,0.172107,0.523056,0.122416,0.045873,0.04,0.0348586,0.0760124,0.796639,1.31721e-07,8.69754,0.897583,271.687,0.0447406,2.58106,108.79,12,8,2
31,1.1216,11,2,1.18285,0.0536056,348,0.172414,0.517729,0.122693,0.044823,0.04,0.0285891,0.0659314,0.796483,1.31721e-07,9.17773,0.955592,271.334,0.044669,2.58601,108.746,12,7,3
32,1.29479,11,2,1.18628,0.052778,359,0.172702,0.518434,0.123063,0.0438362,0.04,0.0363149,0.0889743,0.796561,1.31721e-07,8.94989,0.928973,271.491,0.0446867,2.58345,108.805,12,8,2
33,1.10992,12,2,1.18381,0.0519174,371,0.172507,0.521889,0.125826,0.042827,0.04,0.036161,0.0780329,0.796107,1.31721e-07,9.39456,0.983514,270.934,0.044641,2.59204,108.896,12,8,2
34,1.13069,10,2,1.18242,0.0512316,381,0.173228,0.519698,0.123624,0.0420355,0.04,0.0343449,0.0686026,0.797008,1.31721e-07,9.18317,0.958752,271.317,0.0446464,2.58766,108.78,12,8,3
35,1.19943,12,2,1.18294,0.0504433,393,0.173028,0.515369,0.126256,0.0411416,0.04,0.0295818,0.0638873,0.796198,1.31721e-07,9.74117,1.02656,270.803,0.0446321,2.59448,108.887,12,7,2
36,1.15353,12,2,1.18207,0.0496904,405,0.17284,0.517523,0.128719,0.0403048,0.04,0.035794,0.074808,0.795267,1.31721e-07,10.2001,1.08225,270.32,0.0446042,2.60021,108.985,12,8,2
37,1.23279,11,2,1.18341,0.049029,416,0.173077,0.515607,0.128875,0.0395699,0.04,0.0344676,0.0699328,0.795374,1.31721e-07,9.9755,1.05591,270.472,0.0446272,2.59768,109.024,12,8,2
38,1.29504,11,2,1.18628,0.0483934,427,0.173302,0.516753,0.129021,0.038875,0.04,0.0372468,0.0914524,0.795507,1.31721e-07,9.75998,1.03094,270.623,0.0446518,2.5958,109.057,12,8,2
39,1.17814,11,2,1.18608,0.0477818,438,0.173516,0.514278,0.129161,0.0382127,0.04,0.0333963,0.0627006,0.795686,1.31721e-07,9.55442,1.0071,270.776,0.0446668,2.59446,109.069,12,8,2
40,1.26617,11,2,1.18804,0.0471929,449,0.173719,0.513673,0.129299,0.0375929,0.04,0.0353681,0.0804005,0.795781,1.31721e-07,9.36139,0.984554,270.912,0.0446995,2.59203,109.113,12,8,2
41,1.32213,11,2,1.19125,0.0466252,460,0.173913,0.515252,0.12943,0.0369949,0.04,0.038365,0.0937234,0.795503,1.31721e-07,9.182,0.962904,271.039,0.0447165,2.58867,109.173,12,8,2
42,1.20187,11,2,1.19149,0.0460776,471,0.174098,0.511486,0.129345,0.0364228,0.04,0.028785,0.0634938,0.795232,1.31721e-07,9.30939,0.978806,270.796,0.0446928,2.59176,109.138,12,7,3
43,1.23976,11,2,1.1926,0.0455488,482,0.174274,0.507977,0.129411,0.0358789,0.04,0.0298074,0.0662032,0.79506,1.31721e-07,9.72219,1.0286,270.57,0.044655,2.59481,109.096,12,7,3
44,1.3222,10,2,1.19523,0.0450835,492,0.174797,0.509979,0.127636,0.0354064,0.04,0.0389846,0.0957634,0.795716,1.31721e-07,9.55351,1.00858,270.873,0.0446744,2.5913,109.015,12,8,3
45,1.26322,11,2,1.19672,0.0445878,503,0.17495,0.507256,0.127635,0.0349124,0.04,0.0305395,0.0682986,0.79555,1.31721e-07,9.6912,1.02567,270.649,0.0446343,2.59444,108.975,12,7,3
46,1.21919,11,2,1.1972,0.0441081,514,0.175097,0.50412,0.127731,0.0344353,0.04,0.0303933,0.0630768,0.795136,1.31721e-07,10.0193,1.06475,270.425,0.0445954,2.59646,108.971,12,7,3
47,1.41952,10,2,1.20144,0.0436852,524,0.175573,0.508155,0.126097,0.0340141,0.04,0.0411572,0.11209,0.795448,1.31721e-07,9.85621,1.0452,270.724,0.0446135,2.59245,108.91,12,8,3
48,1.24807,11,2,1.2024,0.0432338,535,0.175701,0.505156,0.126225,0.033575,0.04,0.0297188,0.0638728,0.795348,1.31721e-07,10.2167,1.08881,270.521,0.0445898,2.59512,108.888,12,7,3
49,1.3656,10,2,1.20539,0.0428353,545,0.176147,0.507766,0.124682,0.0331887,0.04,0.0397884,0.101614,0.795811,1.31721e-07,10.0541,1.06958,270.806,0.044599,2.59168,108.821,12,8,3
50,1.29015,11,2,1.20707,0.0424094,556,0.176259,0.505217,0.124798,0.0327836,0.04,0.0314417,0.0669966,0.795331,1.31721e-07,10.2856,1.09708,270.617,0.0445771,2.59363,108.818,12,7,3
51,1.19502,10,2,1.20686,0.0420331,566,0.176678,0.504319,0.123346,0.0324255,0.04,0.0342075,0.071483,0.796056,1.31721e-07,10.1252,1.07849,270.886,0.0445764,2.59142,108.729,12,8,3
52,1.18784,11,2,1.2065,0.0416305,577,0.176776,0.503015,0.123563,0.0320512,0.04,0.0338405,0.0704299,0.796353,1.31721e-07,9.96225,1.05964,270.978,0.0445837,2.59075,108.741,12,8,2
53,1.14268,12,2,1.2052,0.0412043,589,0.17657,0.500239,0.12533,0.0316619,0.04,0.0291787,0.0639764,0.796061,1.31721e-07,10.3505,1.10684,270.633,0.0445578,2.59606,108.779,12,7,2
