cycle,node,pkt_fid,pkt_ts,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,motion_dotd,trunc_frac,range,cx,cy,H,w,h,yaw,std_cx,std_cy,std_H,std_w,std_h,std_yaw,std_yaw_within,front_mode,front_conf,cue_conf,cue_bearing,wall_resp,lidar_rays,lidar_raw,lidar_bpearl,lidar_resid_m,lidar_meanz,lidar_topz,lidar_floorz,lidar_cov_ang,dyaw_points,dyaw_moment,dyaw_flip,obliquity_cos,completeness,moment_aniso,moment_r_yaw,mom_major,mom_minor,mom_phi,mom_pts,ex_L,ex_p,ex_locc,ex_lfree,ex_lfree_eff,ex_ln,ex_socc,ex_sfree,ex_sfree_eff,ex_sndet,ex_streak,ex_pdetect,ex_central,ex_verify,ex_wantsverify,omega_w,omega_yaw,tau_w,tau_yaw,roi_fill,roi_fill_h,roi_fill_v,roi_valid,det_alive,frames_since_det,nbv_standoff,nbv_tx,nbv_ty,nbv_pdetect,nbv_vfov
12,refrigerator_1,1787,1786188959649,26220,0,0.5271,0.702664,0.0526385,0.00204047,6.1942e-09,0,0.00778828,0,1.68854,-3.84792,-0.67437,1.95553,0.745383,0.604236,1.55524,0.0466117,0.0507556,0.0423848,0.0442611,0.0524622,0.0735157,0.0728531,0,0.99999,0.933964,-0.0155539,0.00460475,1117,1798,0,0.113544,0.355325,0.739418,0.131907,0.817361,0.00724351,0,0,0.445857,1,0,0,0,0,0,0,4,0.982014,511.669,126.452,424.604,936,580,60,0,640,0,0.615126,0.721875,0,0,-8.5359,-4.36489,9.98016,0.417391,0.757617,0.162264,0.757617,1,1,0,1.79187,-5.93768,-0.654366,0.585682,1.35383
13,refrigerator_1,1788,1786188959724,25167,0,0.566341,0.695848,0.0473747,0.0020868,9.17852e-09,0,0.00948083,0,1.72249,-3.84622,-0.702357,1.95471,0.730937,0.609049,1.55379,0.045951,0.0503387,0.0416754,0.0440538,0.0523315,0.0793502,0.0737012,0,0.999679,0.777344,-0.0170016,0.00428375,1110,1797,0,0.12732,0.351294,0.735306,0.137599,0.802106,-0.00144768,0,0,0.435565,1,0,0,0,0,0,0,4,0.982014,559.084,92.0934,158.286,717,638,2,0,640,0,0.644992,0.753125,0,0,-8.53071,-4.45257,9.83573,0.466308,0.740148,0.157761,0.740148,1,1,0,1.79187,-5.94166,-0.641801,0.586425,1.35383
14,refrigerator_1,1789,1786188959862,23531,0,0.474232,0.684767,0.0426372,0.00218877,1.33411e-06,0,0.1143,0,1.79404,-3.84839,-0.708497,1.95496,0.724527,0.61094,1.55348,0.0458761,0.0502613,0.0411183,0.044054,0.0522707,0.0800316,0.0746279,0,0.999689,0.72833,-0.0173118,0.00884955,1105,1788,0,0.131819,0.351987,0.735666,0.138281,0.743125,-0.000310183,0,0,0.428125,1,0,0,0,0,0,0,4,0.982014,518.919,86.5796,241.967,761,580,60,0,640,0,0.659364,0.76875,0,0,-8.59431,-4.53357,10.4817,0.518451,0.720965,0.153819,0.720965,1,1,0,1.79187,-5.94232,-0.666717,0.584162,1.35383
15,refrigerator_1,1790,1786188959926,22786,0,0.517889,0.676423,0.0383735,0.0022491,7.72948e-06,0,0.27512,0,1.83124,-3.84156,-0.687295,1.95574,0.728739,0.614079,1.55621,0.0454807,0.0498557,0.0406217,0.0440213,0.052131,0.0809782,0.0753213,0,0.999672,0.88882,-0.014588,0.00822167,1074,1761,0,0.143681,0.345871,0.732442,0.136776,0.730378,0.00272381,0,0,0.419918,1,0,0,0,0,0,0,4,0.982014,447.962,77.8233,218.052,666,580,60,0,640,0,0.670784,0.78125,0,0,-8.66214,-4.60882,11.2007,0.569403,0.695229,0.150277,0.695229,1,1,0,1.79187,-5.94542,-0.67219,0.583117,1.35383
16,refrigerator_1,1791,1786188960049,21625,0,0.53404,0.669304,0.0345361,0.00230952,1.1538e-08,0,0.0106295,0,1.87717,-3.83202,-0.676901,1.95667,0.732243,0.617007,1.5598,0.0448663,0.0493573,0.0401899,0.0439705,0.0519805,0.0825597,0.0763945,0,0.999639,0.958759,-0.0109992,0.00376469,1046,1735,0,0.150989,0.340349,0.73298,0.133206,0.746499,0.0035888,0,0,0.40874,1,0,0,0,0,0,0,4,0.982014,439.232,63.3502,96.3236,536,640,0,0,640,0,0.697883,0.8125,0,0,-8.72733,-4.67909,11.9277,0.628384,0.676191,0.147628,0.676191,1,1,0,1.79187,-5.94025,-0.656677,0.583748,1.35383
17,refrigerator_1,1792,1786188960154,20541,0,0.497449,0.660711,0.0310825,0.00239923,7.35885e-09,0,0.00848922,0,1.93599,-3.82754,-0.672328,1.95698,0.73492,0.619498,1.56371,0.0444904,0.048933,0.0398293,0.043931,0.0518683,0.0836438,0.0772715,0,0.999624,0.963011,-0.00709112,0.00574146,1010,1707,0,0.154821,0.339262,0.72974,0.133951,0.716909,0.00390804,0,0,0.400862,1,0,0,0,0,0,0,4,0.982014,434.847,96.4457,125.45,560,615,22,0,637,0,0.712311,0.833595,0,0,-8.79037,-4.74503,12.6809,0.686718,0.657254,0.144789,0.657254,1,1,0,1.79187,-5.93227,-0.653799,0.584256,1.35383
18,refrigerator_1,1793,1786188960237,19996,0,0.510925,0.653222,0.0279743,0.00245914,8.07905e-09,0,0.00889488,0,1.97429,-3.82219,-0.671817,1.95712,0.736983,0.621601,1.56693,0.0440852,0.0484679,0.039501,0.0438667,0.0517312,0.0845207,0.0777795,0,0.999601,0.967847,-0.00386448,0.00792113,972,1683,0,0.158185,0.337241,0.731182,0.131322,0.727201,0.00322664,0,0,0.394649,1,0,0,0,0,0,0,4,0.982014,395.508,86.712,107.556,503,620,11,0,631,0,0.723584,0.855784,0,0,-8.85082,-4.80721,13.4318,0.740418,0.642521,0.142543,0.642521,1,1,0,1.79187,-5.92911,-0.657425,0.584668,1.35383
19,refrigerator_1,1794,1786188960333,18881,0,0.431354,0.642129,0.0251768,0.00253084,2.83443e-06,0,0.166612,0,2.01743,-3.82874,-0.703389,1.95725,0.727366,0.623258,1.56657,0.0440201,0.0482271,0.0392052,0.0437959,0.0515934,0.0843836,0.0783025,0,0.999636,0.864853,-0.00423057,0.00488874,954,1677,0,0.155334,0.34121,0.732889,0.133266,0.727405,-0.000366092,0,0,0.388157,1,0,0,0,0,0,0,4,0.982014,433.264,92.1089,126.133,559,620,9,0,629,0,0.733347,0.871224,0,0,-8.87134,-4.86611,13.666,0.795933,0.642677,0.141416,0.642677,1,1,0,1.79187,-5.92485,-0.663691,0.584993,1.35383
20,refrigerator_1,1795,1786188960397,18268,0,0.479858,0.634015,0.0226592,0.00259884,7.3459e-06,0,0.268226,0,2.05639,-3.82402,-0.693139,1.95695,0.729491,0.62451,1.56421,0.0436115,0.047985,0.0389361,0.0437615,0.05145,0.0848226,0.0784129,0,0.999617,0.93404,-0.0065852,0.00681693,954,1677,0,0.156222,0.336093,0.729468,0.131988,0.738128,-0.00235462,0,0,0.385416,1,0,0,0,0,0,0,4,0.982014,522.307,83.2583,157.663,680,600,37,0,637,0,0.742731,0.871272,0,0,-8.92537,-4.92196,14.4021,0.844027,0.642254,0.141725,0.642254,1,1,0,1.79187,-5.93222,-0.69449,0.583442,1.35383
21,refrigerator_1,1796,1786188960483,18101,0,0.449702,0.624799,0.0203932,0.00262189,4.20089e-08,0,0.0202849,0,2.07476,-3.82598,-0.687806,1.95693,0.731275,0.625794,1.56758,0.0433452,0.0477171,0.0386696,0.0436848,0.0512597,0.084396,0.0782051,0,0.99963,0.946328,-0.00321253,0.00769228,956,1679,0,0.153145,0.339515,0.731012,0.132664,0.72973,0.00337267,0,0,0.383695,1,0,0,0,0,0,0,4,0.982014,513.549,101.292,174.638,688,560,68,0,628,0,0.730655,0.869427,0,0,-8.97725,-4.97507,15.1157,0.88535,0.641195,0.14185,0.641195,1,1,0,1.79187,-5.92811,-0.679283,0.583803,1.35383
