cycle,node,pkt_fid,pkt_ts,npts,gated,energy,fe_baseline,fe_surprise,R,motion_var,depth_var,motion_dotd,trunc_frac,range,cx,cy,H,w,h,yaw,std_cx,std_cy,std_H,std_w,std_h,std_yaw,std_yaw_within,front_mode,front_conf,cue_conf,cue_bearing,wall_resp,lidar_rays,lidar_raw,lidar_bpearl,lidar_resid_m,lidar_meanz,lidar_topz,lidar_floorz,lidar_cov_ang,dyaw_points,dyaw_moment,dyaw_flip,obliquity_cos,completeness,moment_aniso,moment_r_yaw,mom_major,mom_minor,mom_phi,mom_pts,ex_L,ex_p,ex_locc,ex_lfree,ex_lfree_eff,ex_ln,ex_socc,ex_sfree,ex_sfree_eff,ex_sndet,ex_streak,ex_pdetect,ex_central,ex_verify,ex_wantsverify,omega_w,omega_yaw,tau_w,tau_yaw,roi_fill,roi_fill_h,roi_fill_v,roi_valid,det_alive,frames_since_det,nbv_standoff,nbv_tx,nbv_ty,nbv_pdetect,nbv_vfov
3458,refrigerator_1,5488,1786189304221,18121,0,0.441394,0.44138,1.37345e-05,0.00262467,2.93524e-14,0,1.6956e-05,0,2.07646,-3.82667,-0.6739,1.95642,0.757963,0.638387,1.56958,0.00344707,0.003779,0.00550907,0.00551654,0.00552476,0.030849,0.00617314,0,0.999662,0.909179,-0.00121351,0.00883369,954,1673,0,0.150375,0.340582,0.732952,0.132963,0.729558,-3.57628e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,440.577,119.014,314.424,755,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,975.014,305.122,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.67134,0.588546,1.35383
3459,refrigerator_1,5489,1786189304299,18121,0,0.441394,0.44138,1.37767e-05,0.00262467,1.08724e-14,0,1.03196e-05,0,2.07646,-3.82667,-0.673898,1.95642,0.757963,0.638387,1.56958,0.00344693,0.00377886,0.00550892,0.00551637,0.00552457,0.0308491,0.00617285,0,0.999662,0.909179,-0.00121351,0.00883369,950,1673,0,0.151179,0.339934,0.731661,0.132657,0.724276,0,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.881,118.952,321.485,761,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.954,305.094,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.671338,0.588546,1.35383
3460,refrigerator_1,5490,1786189304381,18121,0,0.441394,0.44138,1.38474e-05,0.00262467,4.35174e-14,0,2.06458e-05,0,2.07646,-3.82667,-0.673897,1.95642,0.757963,0.638387,1.56958,0.00344679,0.00377872,0.00550876,0.0055162,0.00552438,0.0308491,0.00617256,0,0.999662,0.909179,-0.00121482,0.00883365,958,1671,0,0.151699,0.339933,0.731335,0.132876,0.72708,-1.3113e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.749,118.964,321.108,758,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.895,305.066,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.671337,0.588546,1.35383
3461,refrigerator_1,5492,1786189304568,18121,0,0.441395,0.44138,1.39617e-05,0.00262467,2.4891e-14,0,1.56143e-05,0,2.07646,-3.82667,-0.673896,1.95642,0.757963,0.638387,1.56958,0.00344665,0.00377858,0.00550861,0.00551603,0.00552419,0.0308492,0.00617227,0,0.999662,0.909179,-0.00121565,0.00883359,947,1672,0,0.150082,0.340599,0.732615,0.132963,0.726933,-8.34465e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.152,119.271,320.754,757,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.835,305.038,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.671333,0.588546,1.35383
3462,refrigerator_1,5493,1786189304641,18121,0,0.441395,0.44138,1.40348e-05,0.00262467,8.73895e-15,0,9.2519e-06,0,2.07646,-3.82667,-0.673895,1.95642,0.757963,0.638387,1.56958,0.00344651,0.00377844,0.00550846,0.00551586,0.00552401,0.0308493,0.00617199,0,0.999662,0.909179,-0.00121577,0.00883358,956,1676,0,0.152276,0.339152,0.731379,0.132621,0.725331,-1.19209e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,435.832,119.716,322.344,758,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.776,305.011,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.67133,0.588546,1.35383
3463,refrigerator_1,5494,1786189304768,18121,0,0.441395,0.44138,1.41423e-05,0.00262467,2.49623e-14,0,1.56366e-05,0,2.07646,-3.82667,-0.673894,1.95642,0.757963,0.638387,1.56958,0.00344638,0.0037783,0.00550831,0.0055157,0.00552382,0.0308494,0.00617171,0,0.999662,0.909179,-0.00121637,0.00883353,950,1674,0,0.149193,0.34141,0.732046,0.13343,0.729202,-5.96046e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.66,119.144,320.56,757,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.716,304.983,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.671328,0.588546,1.35383
3464,refrigerator_1,5495,1786189304845,18121,0,0.441395,0.44138,1.42003e-05,0.00262467,7.79543e-17,0,8.73819e-07,0,2.07646,-3.82667,-0.673893,1.95642,0.757963,0.638387,1.56958,0.00344624,0.00377817,0.00550816,0.00551553,0.00552363,0.0308494,0.00617143,0,0.999662,0.909179,-0.00121756,0.00883354,951,1676,0,0.151467,0.339912,0.732877,0.132827,0.723511,-1.19209e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,442.163,119.661,316.683,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.657,304.956,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93774,-0.671326,0.588546,1.35383
3465,refrigerator_1,5496,1786189304948,18121,0,0.441395,0.44138,1.42495e-05,0.00262467,2.35441e-14,0,1.5186e-05,0,2.07646,-3.82667,-0.673891,1.95642,0.757962,0.638387,1.56958,0.0034461,0.00377803,0.00550801,0.00551536,0.00552345,0.0308495,0.00617115,0,0.999662,0.909179,-0.00121839,0.00883351,955,1673,0,0.15156,0.339809,0.731135,0.13302,0.725896,-8.34465e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,438.998,119.367,319.464,758,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.598,304.929,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671322,0.588546,1.35383
3466,refrigerator_1,5497,1786189305012,18121,0,0.441395,0.44138,1.42759e-05,0.00262467,4.21609e-15,0,6.42623e-06,0,2.07646,-3.82667,-0.67389,1.95642,0.757962,0.638387,1.56958,0.00344597,0.00377789,0.00550786,0.0055152,0.00552326,0.0308496,0.00617087,0,0.999662,0.909179,-0.00121816,0.00883352,948,1677,0,0.14932,0.34094,0.73261,0.133089,0.72969,2.38419e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,442.035,118.674,317.688,760,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.539,304.903,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671319,0.588546,1.35383
3467,refrigerator_1,5498,1786189305120,18121,0,0.441395,0.44138,1.43057e-05,0.00262467,3.25943e-14,0,1.78679e-05,0,2.07646,-3.82667,-0.673889,1.95642,0.757962,0.638387,1.56958,0.00344583,0.00377776,0.00550771,0.00551503,0.00552308,0.0308496,0.0061706,0,0.999662,0.909179,-0.00121863,0.00883348,946,1675,0,0.150394,0.339705,0.732138,0.132614,0.722872,-4.76837e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.014,119.204,321.478,760,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.48,304.876,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671319,0.588546,1.35383
3468,refrigerator_1,5499,1786189305216,18121,0,0.441395,0.44138,1.43295e-05,0.00262467,1.74295e-14,0,1.3066e-05,0,2.07646,-3.82666,-0.673888,1.95642,0.757962,0.638387,1.56958,0.0034457,0.00377762,0.00550756,0.00551486,0.00552289,0.0308496,0.00617033,0,0.999662,0.909179,-0.00121994,0.00883347,954,1674,0,0.150919,0.339991,0.731829,0.13268,0.727988,-1.3113e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,440.693,119.378,318.47,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.422,304.85,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671317,0.588546,1.35383
3469,refrigerator_1,5500,1786189305322,18121,0,0.441395,0.44138,1.43241e-05,0.00262467,2.59869e-16,0,1.59543e-06,0,2.07646,-3.82666,-0.673887,1.95642,0.757962,0.638387,1.56958,0.00344557,0.00377749,0.00550741,0.0055147,0.00552271,0.0308497,0.00617006,0,0.999662,0.909179,-0.0012203,0.00883347,952,1674,0,0.15121,0.339815,0.731654,0.132626,0.724219,-3.57628e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,438.785,118.726,320.026,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.363,304.824,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671313,0.588546,1.35383
3470,refrigerator_1,5501,1786189305409,18121,0,0.441395,0.441381,1.4352e-05,0.00262467,6.42598e-14,0,2.50883e-05,0,2.07646,-3.82666,-0.673886,1.95642,0.757962,0.638387,1.56957,0.00344543,0.00377735,0.00550726,0.00551453,0.00552253,0.0308498,0.00616979,0,0.999662,0.909179,-0.00122137,0.00883343,951,1677,0,0.151128,0.339472,0.731167,0.133051,0.726682,-1.07288e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.991,119.744,321.2,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.307,304.797,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671311,0.588546,1.35383
3471,refrigerator_1,5503,1786189305570,18121,0,0.441395,0.441381,1.44039e-05,0.00262467,1.60856e-14,0,1.25522e-05,0,2.07646,-3.82666,-0.673884,1.95642,0.757962,0.638387,1.56957,0.0034453,0.00377722,0.00550711,0.00551437,0.00552234,0.0308499,0.00616952,0,0.999662,0.909179,-0.00122257,0.00883339,953,1672,0,0.151353,0.339993,0.731598,0.133163,0.727481,-1.19209e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.022,119.38,322.014,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.248,304.772,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671307,0.588546,1.35383
3472,refrigerator_1,5504,1786189305682,18121,0,0.441396,0.441381,1.44566e-05,0.00262467,3.01385e-14,0,1.71815e-05,0,2.07646,-3.82666,-0.673883,1.95642,0.757962,0.638387,1.56957,0.00344517,0.00377709,0.00550696,0.0055142,0.00552216,0.03085,0.00616925,0,0.999662,0.909179,-0.00122269,0.00883336,951,1673,0,0.150925,0.340026,0.731629,0.132471,0.727521,-1.19209e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.142,119.19,319.384,756,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.19,304.746,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671303,0.588546,1.35383
3473,refrigerator_1,5505,1786189305767,18121,0,0.441396,0.441381,1.45487e-05,0.00262467,3.47779e-14,0,1.84566e-05,0,2.07646,-3.82666,-0.673882,1.95642,0.757962,0.638387,1.56957,0.00344504,0.00377695,0.00550681,0.00551404,0.00552198,0.03085,0.00616899,0,0.999662,0.909179,-0.00122281,0.0088333,957,1675,0,0.151802,0.338979,0.731422,0.132337,0.724901,-1.19209e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.352,119.305,322.736,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.132,304.721,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671302,0.588546,1.35383
3474,refrigerator_1,5506,1786189305810,18121,0,0.441396,0.441381,1.4578e-05,0.00262467,2.81961e-15,0,5.25528e-06,0,2.07646,-3.82666,-0.673881,1.95642,0.757962,0.638387,1.56957,0.00344491,0.00377682,0.00550667,0.00551387,0.00552179,0.03085,0.00616873,0,0.999662,0.909179,-0.00122292,0.00883332,953,1676,0,0.151694,0.33902,0.730786,0.132528,0.725518,-1.19209e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.512,119.069,322.081,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.074,304.695,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671301,0.588546,1.35383
3475,refrigerator_1,5507,1786189305914,18121,0,0.441396,0.441381,1.46342e-05,0.00262467,1.17064e-14,0,1.07081e-05,0,2.07646,-3.82666,-0.67388,1.95642,0.757962,0.638387,1.56957,0.00344478,0.00377669,0.00550652,0.00551371,0.00552161,0.0308502,0.00616847,0,0.999662,0.909179,-0.00122364,0.00883329,949,1677,0,0.150275,0.340329,0.732165,0.13259,0.728137,-7.15256e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.74,119.416,323.588,760,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,974.016,304.67,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671299,0.588546,1.35383
3476,refrigerator_1,5508,1786189305988,18121,0,0.441396,0.441381,1.4646e-05,0.00262467,3.37619e-16,0,1.8185e-06,0,2.07646,-3.82666,-0.673878,1.95642,0.757962,0.638387,1.56957,0.00344465,0.00377656,0.00550637,0.00551355,0.00552143,0.0308502,0.00616821,0,0.999662,0.909179,-0.00122495,0.0088333,955,1677,0,0.150701,0.340096,0.731256,0.133183,0.730054,-1.3113e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,435.756,119.216,323.438,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,973.959,304.645,0.642795,0.145773,0.642795,1,1,0,1.79187,-5.93773,-0.671297,0.588546,1.35383
3477,refrigerator_1,5510,1786189306151,18121,0,0.441396,0.441381,1.46983e-05,0.00262467,1.85769e-14,0,1.34893e-05,0,2.07646,-3.82666,-0.673877,1.95642,0.757962,0.638387,1.56957,0.00344452,0.00377643,0.00550622,0.00551338,0.00552125,0.0308503,0.00616795,0,0.999662,0.909179,-0.00122471,0.00883324,953,1675,0,0.150516,0.340479,0.732037,0.132775,0.727982,2.38419e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.412,118.875,321.758,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,973.901,304.62,0.642795,0.145773,0.642795,1,1,0,1.79187,-5.93773,-0.671292,0.588546,1.35383
3478,refrigerator_1,5511,1786189306261,18121,0,0.441396,0.441381,1.47544e-05,0.00262467,2.71794e-14,0,1.63163e-05,0,2.07646,-3.82666,-0.673876,1.95642,0.757962,0.638387,1.56957,0.0034444,0.0037763,0.00550608,0.00551322,0.00552107,0.0308504,0.0061677,0,0.999662,0.909179,-0.00122435,0.0088332,946,1673,0,0.149393,0.340406,0.731556,0.133163,0.726882,3.57628e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.747,119.271,315.995,756,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,973.844,304.595,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671292,0.588546,1.35383
3479,refrigerator_1,5512,1786189306368,18121,0,0.441397,0.441381,1.48197e-05,0.00262467,1.36622e-14,0,1.15681e-05,0,2.07646,-3.82666,-0.673875,1.95642,0.757961,0.638387,1.56957,0.00344427,0.00377617,0.00550593,0.00551306,0.00552089,0.0308505,0.00616744,0,0.999662,0.909179,-0.00122555,0.00883317,951,1676,0,0.151466,0.339912,0.732877,0.132827,0.72351,-1.19209e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.225,119.439,316.847,754,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,973.786,304.571,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93773,-0.671292,0.588546,1.35383
3480,refrigerator_1,5513,1786189306456,18121,0,0.441397,0.441381,1.48636e-05,0.00262467,7.49166e-15,0,8.56624e-06,0,2.07646,-3.82666,-0.673874,1.95642,0.757961,0.638387,1.56957,0.00344415,0.00377605,0.00550579,0.0055129,0.00552071,0.0308505,0.00616719,0,0.999662,0.909179,-0.00122662,0.00883317,958,1672,0,0.151133,0.339393,0.731048,0.132868,0.73147,-1.07288e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,438.999,119.366,319.454,758,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,973.729,304.547,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671288,0.588546,1.35383
3481,refrigerator_1,5514,1786189306499,18121,0,0.441397,0.441381,1.48853e-05,0.00262467,5.53686e-14,0,2.32881e-05,0,2.07646,-3.82666,-0.673873,1.95642,0.757961,0.638388,1.56957,0.00344402,0.00377592,0.00550564,0.00551274,0.00552053,0.0308506,0.00616694,0,0.999662,0.909179,-0.0012265,0.00883315,957,1673,0,0.150933,0.339093,0.731137,0.132865,0.729796,1.19209e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.249,118.866,320.586,760,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8958,973.672,304.523,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671284,0.588546,1.35383
3482,refrigerator_1,5515,1786189306571,18121,0,0.441396,0.441382,1.48868e-05,0.00262467,3.07198e-14,0,1.73464e-05,0,2.07646,-3.82665,-0.673871,1.95642,0.757961,0.638388,1.56957,0.0034439,0.00377579,0.00550549,0.00551258,0.00552035,0.0308508,0.00616669,0,0.999662,0.909179,-0.00122781,0.00883313,954,1674,0,0.150919,0.339991,0.731829,0.13268,0.727988,-1.3113e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.412,119.776,315.864,753,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.615,304.498,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671283,0.588546,1.35383
3483,refrigerator_1,5516,1786189306765,18121,0,0.441397,0.441382,1.48883e-05,0.00262467,1.48023e-14,0,1.20411e-05,0,2.07646,-3.82665,-0.67387,1.95642,0.757961,0.638387,1.56957,0.00344377,0.00377566,0.00550535,0.00551241,0.00552017,0.0308508,0.00616645,0,0.999662,0.909179,-0.00122936,0.0088331,953,1674,0,0.151484,0.339144,0.730721,0.132973,0.724732,-1.54972e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,438.785,118.726,320.021,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.559,304.475,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671279,0.588546,1.35383
3484,refrigerator_1,5517,1786189306807,18121,0,0.441397,0.441382,1.48866e-05,0.00262467,2.8581e-14,0,1.67317e-05,0,2.07646,-3.82665,-0.673869,1.95642,0.757961,0.638388,1.56957,0.00344365,0.00377554,0.00550521,0.00551225,0.00551999,0.0308509,0.0061662,0,0.999662,0.909179,-0.00122912,0.00883308,955,1675,0,0.151826,0.339358,0.731042,0.132804,0.726769,2.38419e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.584,119.547,322.866,760,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.502,304.451,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671275,0.588546,1.35383
3485,refrigerator_1,5518,1786189306928,18121,0,0.441397,0.441382,1.4894e-05,0.00262467,3.32316e-14,0,1.80417e-05,0,2.07646,-3.82665,-0.673868,1.95642,0.757961,0.638388,1.56957,0.00344353,0.00377541,0.00550506,0.00551209,0.00551982,0.030851,0.00616596,0,0.999662,0.909179,-0.0012296,0.00883304,949,1677,0,0.149008,0.34098,0.73251,0.133178,0.729233,-4.76837e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.677,119.43,319.041,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.447,304.427,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671274,0.588546,1.35383
3486,refrigerator_1,5519,1786189306989,18121,0,0.441396,0.441382,1.485e-05,0.00262467,3.50265e-16,0,1.85225e-06,0,2.07646,-3.82665,-0.673867,1.95642,0.757961,0.638388,1.56957,0.00344341,0.00377529,0.00550492,0.00551193,0.00551964,0.030851,0.00616572,0,0.999662,0.909179,-0.00123008,0.00883305,951,1673,0,0.150738,0.33931,0.730922,0.1326,0.723686,-4.76837e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.902,119.093,319.513,756,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.391,304.404,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671272,0.588546,1.35383
3487,refrigerator_1,5521,1786189307194,18121,0,0.441397,0.441382,1.48253e-05,0.00262467,2.8502e-14,0,1.67086e-05,0,2.07646,-3.82665,-0.673865,1.95642,0.757961,0.638388,1.56956,0.00344328,0.00377516,0.00550477,0.00551177,0.00551946,0.0308512,0.00616548,0,0.999662,0.909179,-0.00123139,0.00883301,950,1674,0,0.151422,0.339027,0.729928,0.132756,0.722926,-1.3113e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,441.4,118.676,315.818,757,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.335,304.381,0.642796,0.145772,0.642796,1,1,0,1.79187,-5.93772,-0.67127,0.588546,1.35383
3488,refrigerator_1,5522,1786189307293,18121,0,0.441397,0.441382,1.48091e-05,0.00262467,3.87899e-14,0,1.94922e-05,0,2.07646,-3.82665,-0.673864,1.95642,0.757961,0.638388,1.56956,0.00344316,0.00377504,0.00550463,0.00551162,0.00551928,0.0308512,0.00616524,0,0.999662,0.909179,-0.00123163,0.008833,953,1674,0,0.1506,0.340182,0.731683,0.133171,0.729216,-2.38419e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.733,118.98,320.848,758,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.278,304.358,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671266,0.588546,1.35383
3489,refrigerator_1,5523,1786189307354,18121,0,0.441396,0.441382,1.47557e-05,0.00262467,8.39071e-16,0,2.86682e-06,0,2.07646,-3.82665,-0.673863,1.95642,0.75796,0.638388,1.56956,0.00344304,0.00377492,0.00550449,0.00551146,0.00551911,0.0308512,0.006165,0,0.999662,0.909179,-0.00123234,0.008833,953,1673,0,0.151303,0.33956,0.731702,0.132844,0.724166,-7.15256e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,437.574,119.183,321.241,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.222,304.335,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671264,0.588546,1.35383
3490,refrigerator_1,5524,1786189307460,18121,0,0.441397,0.441382,1.47643e-05,0.00262467,3.13105e-14,0,1.75124e-05,0,2.07646,-3.82665,-0.673862,1.95642,0.75796,0.638388,1.56956,0.00344292,0.00377479,0.00550434,0.0055113,0.00551893,0.0308514,0.00616477,0,0.999662,0.909179,-0.00123306,0.00883295,955,1675,0,0.150816,0.340258,0.732646,0.132371,0.727651,-7.15256e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.877,119.049,318.863,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.167,304.312,0.642796,0.145772,0.642796,1,1,0,1.79187,-5.93772,-0.671261,0.588546,1.35383
3491,refrigerator_1,5525,1786189307527,18121,0,0.441397,0.441382,1.47452e-05,0.00262467,1.05519e-14,0,1.01664e-05,0,2.07646,-3.82665,-0.673861,1.95642,0.75796,0.638388,1.56956,0.00344281,0.00377467,0.0055042,0.00551114,0.00551876,0.0308513,0.00616453,0,0.999662,0.909179,-0.00123282,0.00883295,951,1674,0,0.150021,0.340969,0.731867,0.132951,0.729146,2.38419e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.266,118.393,315.626,755,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.111,304.289,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671259,0.588546,1.35383
3492,refrigerator_1,5526,1786189307623,18121,0,0.441397,0.441382,1.47429e-05,0.00262467,2.74779e-14,0,1.64056e-05,0,2.07646,-3.82665,-0.673859,1.95642,0.75796,0.638388,1.56956,0.00344269,0.00377455,0.00550406,0.00551098,0.00551858,0.0308514,0.0061643,0,0.999662,0.909179,-0.00123258,0.00883292,954,1677,0,0.150633,0.339387,0.731249,0.133097,0.729601,2.38419e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.487,119.025,319.044,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973.055,304.267,0.642796,0.145773,0.642796,1,1,0,1.79187,-5.93772,-0.671258,0.588546,1.35383
3493,refrigerator_1,5527,1786189307758,18121,0,0.441398,0.441382,1.48213e-05,0.00262467,3.93414e-14,0,1.96303e-05,0,2.07646,-3.82665,-0.673858,1.95642,0.75796,0.638388,1.56956,0.00344257,0.00377443,0.00550392,0.00551083,0.00551841,0.0308515,0.00616407,0,0.999662,0.909179,-0.00123365,0.00883285,958,1672,0,0.151132,0.339393,0.731048,0.132868,0.731469,-1.07288e-06,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.393,119.737,322.529,759,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,973,304.245,0.642796,0.145772,0.642796,1,1,0,1.79187,-5.93772,-0.671257,0.588546,1.35383
3494,refrigerator_1,5528,1786189307800,18121,0,0.441398,0.441382,1.48502e-05,0.00262467,9.46687e-15,0,9.62952e-06,0,2.07646,-3.82665,-0.673857,1.95642,0.75796,0.638388,1.56956,0.00344245,0.00377431,0.00550378,0.00551067,0.00551823,0.0308515,0.00616384,0,0.999662,0.909179,-0.00123377,0.00883285,956,1676,0,0.151859,0.340139,0.73264,0.133004,0.72556,-1.19209e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,439.257,118.866,320.584,760,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,972.944,304.222,0.642796,0.145772,0.642796,1,1,0,1.79187,-5.93771,-0.671254,0.588545,1.35383
3495,refrigerator_1,5529,1786189307956,18121,0,0.441398,0.441382,1.49119e-05,0.00262467,3.66198e-14,0,1.89391e-05,0,2.07646,-3.82665,-0.673856,1.95642,0.75796,0.638388,1.56956,0.00344234,0.00377419,0.00550363,0.00551051,0.00551806,0.0308517,0.00616361,0,0.999662,0.909179,-0.00123425,0.00883279,950,1677,0,0.150388,0.340447,0.731614,0.133023,0.725178,-4.76837e-07,0,0,0.381772,1,0,0,0,0,0,0,4,0.982014,436.292,119.575,320.081,756,580,40,0,620,0,0.719973,0.867742,0,0,-17.2825,-15.8959,972.889,304.2,0.642796,0.145772,0.642796,1,1,0,1.79187,-5.93771,-0.671252,0.588545,1.35383
