rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.315508,0.333333,0.200681,0.324819,0.333333,7.37091,9.64145,240
1,1,0.349765,0.5,0.336123,0.493985,0.5,5.70998,7.54133,50
2,1,0.373021,0.6,0.433885,0.571079,0.6,5.3903,7.14081,60
3,1,0.32337,0.666667,0.505111,0.62056,0.66666,5.60907,10.4603,68
4,1,0.349859,0.714286,0.560507,0.626339,0.714281,7.03032,25.2407,75
5,1,0.263442,0.75,0.604053,0.678259,0.749996,6.42987,8.28074,214
6,1,0.3209,0.777778,0.640633,0.708739,0.77751,5.91005,7.62106,102
7,1,0.443038,0.8,0.671109,0.733694,0.799782,4.7294,6.72047,33
8,1,0.335854,0.818182,0.696164,0.579397,0.804544,5.88962,18.7008,69
9,1,0.368463,0.833333,0.718872,0.637957,0.821945,5.15001,6.78075,57
