rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,0,0,0,0,0,0,0,42.2421,0
1,0,0,0,0,0,0,0,46.381,0
2,0,0,0,0,0,0,0,46.4207,0
3,0,0,0,0,0,0,0,47.4011,0
4,0,0,0,0,0,0,0,51.6391,0
5,0,0,0,0,0,0,0,43.5406,0
6,0,0,0,0,0,0,0,47.3406,0
7,0,0,0,0,0,0,0,51.8807,0
8,0,0,0,0,0,0,0,52.5805,0
9,0,0,0,0,0,0,0,50.5409,0
