rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.285282,0.333333,0.204676,0.291484,0.333333,8.01171,10.4019,255
1,1,0.277936,0.5,0.339626,0.471443,0.5,6.38939,8.3412,150
2,1,0.411108,0.6,0.434993,0.58117,0.6,5.12962,13.7603,42
3,1,0.411837,0.666667,0.505906,0.643435,0.666667,5.26963,7.07968,45
4,1,0.504771,0.714286,0.560468,0.644949,0.714286,4.82999,23.0407,26
5,1,0.305318,0.75,0.470724,0.697506,0.75,14.4706,16.021,218
6,1,0.438056,0.777778,0.534083,0.726224,0.776436,4.7892,6.42044,42
7,1,0.540123,0.8,0.583675,0.729342,0.798913,4.5298,13.2803,26
8,1,0.596832,0.818182,0.625263,0.759224,0.817284,4.1901,5.77956,22
9,1,0.268808,0.833333,0.658483,0.777038,0.831919,6.46937,8.07992,181
