rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.291676,0.333333,0.204313,0.332031,0.333333,7.75039,10.1018,241
1,1,0.293236,0.5,0.346176,0.49805,0.5,6.47022,8.36018,89
2,1,0.328145,0.6,0.438331,0.331602,0.6,6.93034,20.8999,174
3,1,0.298523,0.666667,0.508959,0.495768,0.666667,6.40849,8.17961,155
4,1,0.444465,0.714286,0.564932,0.596196,0.714286,4.8497,6.50044,42
5,1,0.358477,0.75,0.608125,0.652073,0.749999,5.42911,7.10032,54
6,1,0.259998,0.777778,0.643174,0.662731,0.777777,7.02954,25.24,195
7,1,0.271944,0.8,0.675264,0.697457,0.799999,6.37018,8.06045,191
8,1,0.343182,0.818182,0.6998,0.535458,0.666665,6.19061,20.7801,64
9,1,0.307062,0.833333,0.720827,0.599458,0.714284,13.7502,15.4009,361
