rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.313547,0.333333,0.204017,0.330143,0.333333,7.7105,10.1418,240
1,1,0.308656,0.5,0.339492,0.495634,0.5,6.76853,8.65908,157
2,1,0.432663,0.6,0.435402,0.563054,0.6,5.0299,7.08052,43
3,1,0.517588,0.666667,0.506038,0.628143,0.666667,4.46966,6.08012,26
4,1,0.587036,0.714286,0.562407,0.670379,0.714286,4.1285,6.10079,21
5,1,0.283505,0.75,0.605915,0.704089,0.749904,6.06064,7.71965,85
6,1,0.300483,0.777778,0.642036,0.734683,0.777702,5.48963,7.10108,62
7,1,0.304309,0.8,0.672485,0.757662,0.799935,5.54883,7.16049,68
8,1,0.31196,0.818182,0.698869,0.780821,0.818128,6.30915,7.94161,154
9,1,0.358429,0.833333,0.720989,0.799303,0.833288,5.22913,6.88004,55
