rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.264049,0.333333,0.203546,0.306488,0.333333,7.87105,10.4613,243
1,1,0.348033,0.5,0.338951,0.48083,0.5,6.14996,8.10072,70
2,1,0.380568,0.6,0.435394,0.552919,0.6,5.32966,7.04072,58
3,1,0.486924,0.666667,0.506002,0.611726,0.666659,4.62996,6.40094,31
4,1,0.559656,0.714286,0.560606,0.626663,0.712258,4.59094,17.3809,25
5,1,0.48788,0.75,0.606412,0.669186,0.748449,4.6902,6.56106,33
6,1,0.357141,0.777778,0.642417,0.703813,0.776553,5.23092,7.54062,58
7,1,0.464269,0.8,0.671828,0.729149,0.799009,6.13103,17.5605,34
8,1,0.311256,0.818182,0.69787,0.757698,0.817363,6.38919,7.98027,151
9,1,0.288347,0.833333,0.721597,0.781044,0.832645,5.94889,7.50031,92
