rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.255532,0.333333,0.203282,0.313829,0.333333,7.59085,9.98248,240
1,1,0.329306,0.5,0.338066,0.473174,0.5,5.92886,7.84032,65
2,1,0.359521,0.6,0.43941,0.563193,0.6,5.46913,7.33968,61
3,1,0.375025,0.666667,0.509183,0.620655,0.666667,5.24953,7.46055,59
4,1,0.476328,0.714286,0.565107,0.668902,0.714284,4.60285,6.29948,32
5,1,0.549247,0.75,0.610258,0.701078,0.749993,4.32978,5.9604,25
6,1,0.604168,0.777778,0.647373,0.727722,0.777772,4.11015,5.72119,21
7,1,0.647466,0.8,0.676676,0.749978,0.799989,3.95016,5.52018,18
8,1,0.68212,0.818182,0.701623,0.768132,0.818171,3.84955,5.42003,17
9,1,0.710577,0.833333,0.723202,0.785436,0.832883,3.78988,5.36111,15
