rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.251359,0.333333,0.204127,0.267386,0.333333,7.5903,9.86208,239
1,1,0.32694,0.5,0.338323,0.462921,0.5,6.02917,7.99925,66
2,1,0.358726,0.6,0.43963,0.55338,0.6,5.46947,7.34069,61
3,1,0.372173,0.666667,0.509352,0.614529,0.666667,5.26982,7.12168,60
4,1,0.475327,0.714286,0.565057,0.655122,0.710956,4.65121,6.30115,32
5,1,0.548296,0.75,0.610227,0.692368,0.747454,4.29019,6.54131,25
6,1,0.478859,0.777778,0.647507,0.723335,0.775769,4.5703,6.88073,31
7,1,0.551996,0.8,0.676974,0.750164,0.798374,4.20827,5.78043,25
8,1,0.606671,0.818182,0.702037,0.768239,0.816839,4.08926,5.65981,21
9,1,0.649099,0.833333,0.724816,0.785379,0.832154,3.95017,5.52035,18
