rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.315383,0.333333,0.203636,0.283325,0.333333,7.44253,9.80174,240
1,1,0.26576,0.5,0.2792,0.439437,0.5,15.6293,17.481,171
2,1,0.408792,0.6,0.394249,0.521775,0.599998,5.20981,7.3398,44
3,1,0.505626,0.666667,0.474077,0.547959,0.666665,5.13008,23.3413,32
4,1,0.367486,0.714286,0.537918,0.6032,0.714285,5.0881,7.04048,40
5,1,0.471376,0.75,0.588212,0.66679,0.749999,4.50886,6.1808,32
6,1,0.439002,0.777778,0.626736,0.500139,0.599999,4.86939,11.9994,40
7,1,0.520733,0.8,0.658794,0.541123,0.666626,6.57006,19.5603,30
8,1,0.582352,0.818182,0.686497,0.607998,0.714256,4.13015,6.62057,21
9,1,0.633469,0.833333,0.709488,0.608034,0.746824,6.17123,19.2011,20
