# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
28;1789213393167;0.00156944,-0.00188473,-0.00105261;-2.61492,-2.06128 3.36738,-1.68557 3.11629,2.32102 -2.8665,1.94726;0.874404 0.988241 0.988204 0.874517;0.5 0.5 0.5 0.5;1,0
29;1789213393222;0.00163183,-0.00195553,-0.000940064;-2.61532,-2.06007 3.36725,-1.68563 3.11692,2.3206 -2.86591,1.94757;0.874384 0.988302 0.988281 0.874442;0.5 0.5 0.5 0.5;1,0
30;1789213393277;0.00169283,-0.00203295,-0.000171891;-2.61524,-2.06118 3.3673,-1.68547 3.11636,2.3207 -2.8664,1.94719;0.874468 0.988225 0.988195 0.874514;0.5 0.5 0.5 0.5;1,0
31;1789213393333;0.00175792,-0.00210481,4.15483e-05;-2.61442,-2.06204 3.3676,-1.68456 3.1158,2.32136 -2.86715,1.94654;0.874426 0.988178 0.988183 0.874585;0.5 0.5 0.5 0.5;1,0
32;1789213393377;0.00180777,-0.00216423,0.00104515;-2.61409,-2.06282 3.36798,-1.68494 3.11485,2.32245 -2.86716,1.94521;0.874394 0.988229 0.988181 0.874417;0.5 0.5 0.5 0.5;1,0
33;1789213393428;0.00186647,-0.00222968,0.000947541;-2.61404,-2.06304 3.36829,-1.68433 3.11508,2.32239 -2.8676,1.94524;0.874439 0.98825 0.988223 0.87452;0.5 0.5 0.5 0.5;1,0
34;1789213393475;0.00191915,-0.00229398,0.000675032;-2.61384,-2.06232 3.36835,-1.68315 3.11538,2.32253 -2.86712,1.94524;0.874419 0.988247 0.988303 0.874406;0.5 0.5 0.5 0.5;1,0
35;1789213393532;0.00198128,-0.00237761,0.000726795;-2.61413,-2.06199 3.36807,-1.68364 3.11523,2.32233 -2.86756,1.94529;0.874422 0.988235 0.988247 0.874521;0.5 0.5 0.5 0.5;1,0
36;1789213393580;0.00203925,-0.00244152,0.000462074;-2.61402,-2.0623 3.36859,-1.6837 3.11559,2.32239 -2.86741,1.94494;0.874418 0.988334 0.98836 0.874464;0.5 0.5 0.5 0.5;1,0
37;1789213393631;0.00209351,-0.00250863,-0.000548598;-2.61494,-2.06188 3.36757,-1.68602 3.11627,2.32084 -2.86661,1.94652;0.874424 0.988268 0.988242 0.874506;0.5 0.5 0.5 0.5;1,0
38;1789213393678;0.0021484,-0.00256635,-0.000473502;-2.61474,-2.06134 3.36749,-1.68576 3.11645,2.32079 -2.86632,1.94684;0.874356 0.988271 0.988252 0.874469;0.5 0.5 0.5 0.5;1,0
39;1789213393734;0.00221043,-0.00264643,-0.00045819;-2.61458,-2.06104 3.36767,-1.68618 3.11636,2.32092 -2.86643,1.94649;0.874268 0.988359 0.988271 0.874461;0.5 0.5 0.5 0.5;1,0
40;1789213393784;0.00226648,-0.0027128,-0.000195226;-2.61433,-2.06154 3.36789,-1.68469 3.11608,2.32162 -2.86673,1.94592;0.874357 0.988285 0.98832 0.874436;0.5 0.5 0.5 0.5;1,0
41;1789213393831;0.0023198,-0.00278021,-0.000242053;-2.61478,-2.06212 3.36768,-1.68484 3.11606,2.32137 -2.86684,1.94605;0.87449 0.988207 0.988281 0.874488;0.5 0.5 0.5 0.5;1,0
42;1789213393879;0.00237706,-0.00284205,-0.000487451;-2.61435,-2.0611 3.36818,-1.68485 3.11666,2.32149 -2.8664,1.94639;0.874314 0.988394 0.988399 0.874406;0.5 0.5 0.5 0.5;1,0
43;1789213393935;0.00243351,-0.00292416,-0.000592616;-2.61479,-2.06156 3.36751,-1.68561 3.11653,2.32077 -2.866,1.94669;0.874396 0.988252 0.988282 0.874391;0.5 0.5 0.5 0.5;1,0
44;1789213393991;0.00250069,-0.00299444,-0.00128841;-2.61469,-2.0619 3.36785,-1.68647 3.11598,2.32049 -2.86645,1.94636;0.874341 0.988356 0.988159 0.874488;0.5 0.5 0.5 0.5;1,0
45;1789213394041;0.00255929,-0.0030549,-0.000731777;-2.6151,-2.06071 3.367,-1.68604 3.11648,2.32054 -2.86642,1.9469;0.874365 0.988221 0.988229 0.874513;0.5 0.5 0.5 0.5;1,0
46;1789213394088;0.00261559,-0.00312703,-0.000585082;-2.61477,-2.06104 3.36741,-1.6857 3.11666,2.32065 -2.86621,1.94699;0.874342 0.988271 0.988273 0.874466;0.5 0.5 0.5 0.5;1,0
47;1789213394140;0.00266999,-0.00319878,0.000298273;-2.61406,-2.06232 3.36816,-1.68357 3.11512,2.32198 -2.86743,1.94503;0.874438 0.988227 0.988209 0.874502;0.5 0.5 0.5 0.5;1,0
48;1789213394186;0.00272673,-0.00326098,0.000203862;-2.61426,-2.06243 3.36766,-1.68512 3.11552,2.32083 -2.86658,1.94584;0.874386 0.988195 0.988128 0.874456;0.5 0.5 0.5 0.5;1,0
49;1789213394244;0.00279112,-0.00333187,0.000643922;-2.61389,-2.06279 3.36837,-1.68369 3.11554,2.32202 -2.8673,1.94513;0.874431 0.98825 0.988298 0.874479;0.5 0.5 0.5 0.5;1,0
50;1789213394294;0.00284585,-0.00340649,0.000855247;-2.61331,-2.06422 3.36865,-1.68521 3.11523,2.32232 -2.86735,1.94462;0.874321 0.988295 0.988298 0.874434;0.5 0.5 0.5 0.5;1,0
51;1789213394348;0.00290515,-0.00346679,0.000799424;-2.61366,-2.0632 3.36858,-1.68406 3.11542,2.32242 -2.86733,1.94477;0.874391 0.988287 0.988338 0.874432;0.5 0.5 0.5 0.5;1,0
52;1789213394397;0.00296166,-0.00354331,0.00115606;-2.61288,-2.06389 3.36934,-1.68353 3.11427,2.3228 -2.86785,1.94383;0.874316 0.98838 0.988192 0.874454;0.5 0.5 0.5 0.5;1,0
53;1789213394445;0.00301609,-0.00360422,0.00144871;-2.61269,-2.06436 3.36914,-1.6834 3.11459,2.32317 -2.86773,1.94422;0.874324 0.988293 0.988268 0.874425;0.5 0.5 0.5 0.5;1,0
54;1789213394496;0.00307208,-0.00367636,0.00123594;-2.61339,-2.06227 3.36853,-1.68369 3.11567,2.32158 -2.86677,1.94499;0.874283 0.988319 0.988298 0.87439;0.5 0.5 0.5 0.5;1,0
55;1789213394554;0.00313416,-0.00375707,0.00209726;-2.61224,-2.06522 3.37004,-1.68221 3.11398,2.32409 -2.86878,1.94236;0.874376 0.988368 0.988362 0.874466;0.5 0.5 0.5 0.5;1,0
56;1789213394597;0.00318774,-0.00380881,0.00188203;-2.61311,-2.06423 3.36946,-1.6844 3.11504,2.32295 -2.8681,1.9441;0.874332 0.988434 0.988354 0.874517;0.5 0.5 0.5 0.5;1,0
57;1789213394648;0.00324487,-0.00387582,0.00220725;-2.61245,-2.0642 3.36928,-1.6825 3.11463,2.32298 -2.86804,1.9439;0.874322 0.988284 0.988283 0.874487;0.5 0.5 0.5 0.5;1,0
58;1789213394693;0.0032947,-0.00394442,0.00204043;-2.6124,-2.06448 3.36977,-1.68203 3.11478,2.3235 -2.86834,1.94328;0.874364 0.988349 0.988412 0.874475;0.5 0.5 0.5 0.5;1,0
59;1789213394747;0.0033541,-0.00401785,0.00112024;-2.6132,-2.06398 3.36912,-1.68395 3.11519,2.3227 -2.86748,1.94417;0.874363 0.988349 0.988362 0.874405;0.5 0.5 0.5 0.5;1,0
60;1789213394794;0.00340851,-0.00407461,0.00140704;-2.6132,-2.06291 3.36857,-1.68362 3.11484,2.32235 -2.86737,1.94381;0.874301 0.988279 0.988279 0.874384;0.5 0.5 0.5 0.5;1,0
61;1789213394854;0.0034805,-0.00415726,0.00182083;-2.61264,-2.06321 3.36947,-1.68287 3.11487,2.32304 -2.86756,1.94283;0.874255 0.98842 0.98843 0.874313;0.5 0.5 0.5 0.5;1,0
62;1789213394897;0.00352229,-0.00421638,0.00178024;-2.61299,-2.0631 3.36892,-1.68464 3.11547,2.32217 -2.86704,1.94384;0.874202 0.988404 0.988401 0.87433;0.5 0.5 0.5 0.5;1,0
63;1789213394946;0.003577,-0.00427482,0.00162664;-2.61291,-2.06332 3.36891,-1.6834 3.11477,2.32251 -2.86745,1.94388;0.874286 0.988315 0.988273 0.874392;0.5 0.5 0.5 0.5;1,0
64;1789213395001;0.00364542,-0.00435774,0.000651513;-2.61395,-2.06228 3.36892,-1.68403 3.11608,2.32153 -2.86726,1.94523;0.874378 0.988432 0.988364 0.874516;0.5 0.5 0.5 0.5;1,0
65;1789213395055;0.00370462,-0.00443579,0.000947272;-2.61376,-2.063 3.36891,-1.68494 3.11554,2.32196 -2.86702,1.94433;0.874335 0.988429 0.988358 0.874371;0.5 0.5 0.5 0.5;1,0
66;1789213395105;0.00376188,-0.00449097,0.000101336;-2.61395,-2.06259 3.36838,-1.68638 3.11642,2.32077 -2.86629,1.94568;0.874245 0.98842 0.988337 0.874391;0.5 0.5 0.5 0.5;1,0
67;1789213395154;0.00381241,-0.00455259,0.000284657;-2.61356,-2.06251 3.36867,-1.68513 3.11636,2.32141 -2.86634,1.94515;0.874241 0.988419 0.988425 0.87432;0.5 0.5 0.5 0.5;1,0
68;1789213395203;0.00386401,-0.00462695,0.000166144;-2.61404,-2.06276 3.36906,-1.68469 3.11631,2.32149 -2.86678,1.94499;0.874391 0.988468 0.988431 0.874399;0.5 0.5 0.5 0.5;1,0
69;1789213395253;0.00392397,-0.00469516,-0.000276621;-2.61402,-2.06205 3.36819,-1.68531 3.11612,2.32096 -2.86626,1.94556;0.87429 0.988352 0.988296 0.874361;0.5 0.5 0.5 0.5;1,0
70;1789213395311;0.0039938,-0.00477503,-0.000169587;-2.61384,-2.06293 3.36843,-1.68614 3.11653,2.32122 -2.86627,1.94569;0.874266 0.988391 0.988402 0.874354;0.5 0.5 0.5 0.5;1,0
71;1789213395362;0.00404633,-0.00483731,0.000194423;-2.61319,-2.0625 3.36888,-1.68459 3.11601,2.32115 -2.86631,1.94447;0.874198 0.988436 0.988378 0.874288;0.5 0.5 0.5 0.5;1,0
72;1789213395406;0.00409263,-0.00489887,-0.000158078;-2.61442,-2.06169 3.36838,-1.68573 3.11695,2.32024 -2.86633,1.94554;0.874315 0.988448 0.988415 0.874433;0.5 0.5 0.5 0.5;1,0
73;1789213395456;0.00415502,-0.00496545,0.000123007;-2.61402,-2.06269 3.36846,-1.68668 3.11704,2.32095 -2.86618,1.94559;0.874249 0.988447 0.988498 0.874351;0.5 0.5 0.5 0.5;1,0
74;1789213395503;0.00420337,-0.00502324,0.000677011;-2.61392,-2.06315 3.3691,-1.68539 3.11656,2.32138 -2.86672,1.94496;0.874349 0.988488 0.988481 0.874393;0.5 0.5 0.5 0.5;1,0
75;1789213395559;0.00426849,-0.00510302,0.000447255;-2.61281,-2.06308 3.3697,-1.68404 3.1164,2.32145 -2.86646,1.94428;0.8742 0.988548 0.988507 0.874289;0.5 0.5 0.5 0.5;1,0
76;1789213395608;0.00431084,-0.0051728,0.000505257;-2.61369,-2.06371 3.36884,-1.68552 3.11578,2.32153 -2.86725,1.94425;0.874339 0.988394 0.988376 0.874452;0.5 0.5 0.5 0.5;1,0
77;1789213395659;0.00439055,-0.0052289,-0.000184336;-2.61367,-2.06308 3.36825,-1.68631 3.11674,2.32011 -2.86592,1.94549;0.874232 0.98835 0.988361 0.874349;0.5 0.5 0.5 0.5;1,0
78;1789213395705;0.00443072,-0.00528747,-0.000115964;-2.61411,-2.06317 3.3685,-1.6863 3.11633,2.3208 -2.86679,1.94485;0.874331 0.988402 0.988384 0.874445;0.5 0.5 0.5 0.5;1,0
79;1789213395757;0.00449988,-0.00535787,0.000386747;-2.61342,-2.06327 3.36921,-1.68466 3.11619,2.32109 -2.86669,1.94426;0.874302 0.988462 0.988426 0.874365;0.5 0.5 0.5 0.5;1,0
80;1789213395811;0.00455105,-0.00543852,0.00031311;-2.61333,-2.06199 3.36852,-1.68521 3.11685,2.32091 -2.86576,1.94543;0.874145 0.988424 0.988466 0.874251;0.5 0.5 0.5 0.5;1,0
81;1789213395866;0.00460692,-0.00552676,0.00020464;-2.61337,-2.06353 3.36922,-1.68485 3.11629,2.32107 -2.8665,1.94392;0.8743 0.988455 0.988476 0.874305;0.5 0.5 0.5 0.5;1,0
82;1789213395909;0.00466008,-0.00556514,0.000559432;-2.61331,-2.06275 3.36908,-1.68601 3.11681,2.32112 -2.86635,1.9448;0.874147 0.988544 0.988523 0.874325;0.5 0.5 0.5 0.5;1,0
83;1789213395960;0.00471381,-0.00564018,0.000479284;-2.61344,-2.0633 3.36922,-1.68468 3.1166,2.32121 -2.86645,1.94472;0.874307 0.988461 0.988494 0.874333;0.5 0.5 0.5 0.5;1,0
84;1789213396012;0.00477464,-0.00571636,0.000141195;-2.61349,-2.06305 3.36878,-1.68567 3.11622,2.32101 -2.86663,1.94427;0.874233 0.988435 0.988424 0.874358;0.5 0.5 0.5 0.5;1,0
85;1789213396070;0.00484884,-0.00578396,0.000305849;-2.61347,-2.06282 3.36892,-1.68571 3.11663,2.32085 -2.86632,1.94493;0.874207 0.988486 0.98845 0.874345;0.5 0.5 0.5 0.5;1,0
86;1789213396119;0.00489736,-0.00585573,0.000635893;-2.61336,-2.06407 3.36937,-1.68631 3.1168,2.32107 -2.86665,1.9441;0.874242 0.988536 0.988572 0.87435;0.5 0.5 0.5 0.5;1,0
87;1789213396181;0.00496384,-0.00592004,0.000951905;-2.61337,-2.06317 3.36883,-1.6847 3.11603,2.321 -2.86661,1.94444;0.874284 0.988382 0.988369 0.874365;0.5 0.5 0.5 0.5;1,0
88;1789213396223;0.00502184,-0.00599779,0.00147676;-2.61191,-2.06455 3.3695,-1.68328 3.11517,2.32237 -2.86718,1.94286;0.874183 0.98835 0.988432 0.874284;0.5 0.5 0.5 0.5;1,0
89;1789213396272;0.00507066,-0.00606248,0.00182901;-2.61253,-2.06366 3.36984,-1.68384 3.11556,2.32189 -2.86691,1.94317;0.8742 0.988528 0.988449 0.874282;0.5 0.5 0.5 0.5;1,0
90;1789213396319;0.00512053,-0.00612596,0.00188793;-2.61185,-2.06578 3.37017,-1.68377 3.11514,2.32252 -2.86726,1.94311;0.874234 0.988444 0.988418 0.874305;0.5 0.5 0.5 0.5;1,0
91;1789213396369;0.00517494,-0.0061842,0.00184451;-2.61245,-2.0635 3.36997,-1.68361 3.11574,2.32221 -2.86707,1.94386;0.874186 0.988555 0.988462 0.874336;0.5 0.5 0.5 0.5;1,0
92;1789213396415;0.00522697,-0.00626838,0.00204245;-2.6119,-2.06531 3.37026,-1.68418 3.11565,2.32264 -2.86715,1.94244;0.874176 0.988523 0.988595 0.874233;0.5 0.5 0.5 0.5;1,0
93;1789213396475;0.0052897,-0.00632213,0.00307782;-2.61163,-2.06507 3.37001,-1.68294 3.11448,2.32334 -2.86791,1.94217;0.874186 0.98841 0.988422 0.874324;0.5 0.5 0.5 0.5;1,0
94;1789213396524;0.00536057,-0.00640382,0.00338566;-2.61101,-2.06527 3.37063,-1.68207 3.11467,2.32366 -2.86781,1.9418;0.874128 0.988487 0.988522 0.874256;0.5 0.5 0.5 0.5;1,0
95;1789213396574;0.00540376,-0.00647605,0.00303596;-2.61147,-2.0661 3.37031,-1.68275 3.11469,2.32312 -2.86796,1.94114;0.874247 0.988395 0.988528 0.874288;0.5 0.5 0.5 0.5;1,0
96;1789213396621;0.00546459,-0.00651396,0.00305968;-2.61141,-2.06489 3.3706,-1.6824 3.11484,2.32352 -2.86765,1.94245;0.87416 0.988527 0.988496 0.874271;0.5 0.5 0.5 0.5;1,0
97;1789213396671;0.00551435,-0.0066121,0.00310731;-2.61179,-2.06582 3.37091,-1.68314 3.11508,2.3234 -2.86788,1.94206;0.874264 0.988577 0.988568 0.874308;0.5 0.5 0.5 0.5;1,0
