# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
1797;1789213142099;-0.011628,-0.0319786,-0.010307;-2.65234,-1.95984 -10,-1.95984 -10,-2.44905 3.34005,-1.73876 3.14025,2.01967 10,2.01967 10,2.62637 -2.85988,1.94259;0.857109 2.66539 0.81447 0.0216867 0.68165 1.88477 0.851594 0.0212689;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1798;1789213142147;-0.0116676,-0.0319312,-0.0107379;-2.655,-1.95984 -10,-1.95984 -10,-2.43824 3.33756,-1.72832 3.13796,2.01967 10,2.01967 10,2.62576 -2.86252,1.94188;0.857676 2.66539 0.812236 0.021685 0.68129 1.88477 0.851466 0.0212709;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1799;1789213142202;-0.0116693,-0.0318588,-0.0108026;-2.65443,-1.95984 -10,-1.95984 -10,-2.43897 3.3365,-1.74092 3.14005,2.01967 10,2.01967 10,2.6155 -2.85861,1.94459;0.857513 2.66539 0.81235 0.021685 0.681584 1.88477 0.849248 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1800;1789213142256;-0.0116672,-0.0318148,-0.0111485;-2.65541,-1.95984 -10,-1.95984 -10,-2.43215 3.33767,-1.74057 3.1422,2.01967 10,2.01967 10,2.61363 -2.85835,1.94623;0.857707 2.66539 0.810922 0.0216869 0.681916 1.88477 0.848841 0.0212696;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1801;1789213142310;-0.0116614,-0.0318015,-0.011412;-2.65545,-1.95984 -10,-1.95984 -10,-2.43199 3.33612,-1.74201 3.14109,2.01967 10,2.01967 10,2.61345 -2.85798,1.94532;0.857711 2.66539 0.810884 0.0216856 0.681735 1.88477 0.848804 0.0212692;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1802;1789213142355;-0.0116847,-0.0318132,-0.0111877;-2.65567,-1.95984 -10,-1.95984 -10,-2.42905 3.33515,-1.74025 3.14091,2.01967 10,2.01967 10,2.61176 -2.85771,1.94691;0.857752 2.66539 0.810276 0.021685 0.6817 1.88477 0.848436 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1803;1789213142408;-0.0117679,-0.0318729,-0.0118622;-2.65614,-1.95984 -10,-1.95984 -10,-2.42842 3.33566,-1.74285 3.14194,2.01967 10,2.01967 10,2.60726 -2.85695,1.94764;0.857838 2.66539 0.810136 0.0216857 0.681857 1.88477 0.847466 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1804;1789213142455;-0.0118203,-0.0319191,-0.0119878;-2.65563,-1.95984 -10,-1.95984 -10,-2.43291 3.33573,-1.73956 3.14071,2.01967 10,2.01967 10,2.6118 -2.85811,1.94605;0.857749 2.66539 0.811086 0.021685 0.681676 1.88477 0.848448 0.0212696;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1805;1789213142512;-0.0117721,-0.0319415,-0.0120896;-2.65786,-1.95984 -10,-1.95984 -10,-2.42735 3.33524,-1.74769 3.14299,2.01967 10,2.01967 10,2.60466 -2.85726,1.94742;0.858187 2.66539 0.809897 0.0216859 0.682007 1.88477 0.846908 0.0212699;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1806;1789213142562;-0.0117289,-0.0319616,-0.0120436;-2.65677,-1.95984 -10,-1.95984 -10,-2.4198 3.33231,-1.74455 3.14133,2.01967 10,2.01967 10,2.60158 -2.85508,1.94852;0.857942 2.66539 0.80833 0.021684 0.681734 1.88477 0.846245 0.0212687;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1807;1789213142616;-0.0117903,-0.0318315,-0.0120027;-2.6567,-1.95984 -10,-1.95984 -10,-2.42904 3.33734,-1.74485 3.14386,2.01967 10,2.01967 10,2.60663 -2.85737,1.9475;0.857956 2.66539 0.81026 0.0216873 0.682158 1.88477 0.847331 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1808;1789213142666;-0.0118533,-0.0317028,-0.0122598;-2.65748,-1.95984 -10,-1.95984 -10,-2.42137 3.33465,-1.73938 3.14219,2.01967 10,2.01967 10,2.60532 -2.8574,1.94842;0.858112 2.66539 0.808674 0.0216854 0.681886 1.88477 0.847046 0.0212701;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1809;1789213142713;-0.0117992,-0.0317251,-0.0122566;-2.65679,-1.95984 -10,-1.95984 -10,-2.4264 3.33423,-1.74422 3.14192,2.01967 10,2.01967 10,2.60409 -2.85641,1.94731;0.857963 2.66539 0.809709 0.0216848 0.68184 1.88477 0.846788 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1810;1789213142759;-0.0117355,-0.0317608,-0.0121273;-2.65708,-1.95984 -10,-1.95984 -10,-2.42531 3.3339,-1.74224 3.14111,2.01967 10,2.01967 10,2.60601 -2.85721,1.94707;0.858031 2.66539 0.809488 0.0216845 0.681717 1.88477 0.8472 0.0212697;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1811;1789213142811;-0.0117841,-0.0317961,-0.0120053;-2.65642,-1.95984 -10,-1.95984 -10,-2.43318 3.33755,-1.74194 3.14338,2.01967 10,2.01967 10,2.60963 -2.85816,1.94615;0.857908 2.66539 0.811133 0.0216867 0.682089 1.88477 0.84798 0.0212699;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1812;1789213142864;-0.0118993,-0.0318294,-0.0125485;-2.65724,-1.95984 -10,-1.95984 -10,-2.42196 3.3344,-1.74682 3.14363,2.01967 10,2.01967 10,2.60069 -2.85566,1.94942;0.858043 2.66539 0.808774 0.0216857 0.682095 1.88477 0.84605 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1813;1789213142913;-0.011977,-0.0318732,-0.0124634;-2.65828,-1.95984 -10,-1.95984 -10,-2.41899 3.33275,-1.74782 3.14268,2.01967 10,2.01967 10,2.59704 -2.85565,1.94937;0.858254 2.66539 0.808152 0.0216847 0.681938 1.88477 0.845269 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1814;1789213142960;-0.0120273,-0.0319262,-0.0133192;-2.65871,-1.95984 -10,-1.95984 -10,-2.41361 3.33182,-1.74673 3.14394,2.01967 10,2.01967 10,2.59341 -2.85406,1.95049;0.858322 2.66539 0.807033 0.0216845 0.682118 1.88477 0.844486 0.0212691;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1815;1789213143011;-0.0120542,-0.0319512,-0.013695;-2.66119,-1.95984 -10,-1.95984 -10,-2.4044 3.33109,-1.74692 3.14512,2.01967 10,2.01967 10,2.58818 -2.85412,1.95311;0.858823 2.66539 0.805113 0.021685 0.682288 1.88477 0.843358 0.0212701;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1816;1789213143066;-0.0120229,-0.0319068,-0.0137552;-2.65941,-1.95984 -10,-1.95984 -10,-2.40023 3.33182,-1.74042 3.14551,2.01967 10,2.01967 10,2.58942 -2.85308,1.95156;0.858452 2.66539 0.804264 0.0216857 0.682356 1.88477 0.843629 0.021269;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1817;1789213143126;-0.0119953,-0.0318594,-0.0138388;-2.66009,-1.95984 -10,-1.95984 -10,-2.41146 3.3309,-1.74855 3.14364,2.01967 10,2.01967 10,2.59008 -2.85478,1.95165;0.858608 2.66539 0.806578 0.0216841 0.682065 1.88477 0.843769 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1818;1789213143170;-0.0120008,-0.0318273,-0.0140812;-2.65938,-1.95984 -10,-1.95984 -10,-2.39936 3.33145,-1.74108 3.14574,2.01967 10,2.01967 10,2.58689 -2.85211,1.95205;0.858435 2.66539 0.804081 0.0216855 0.682387 1.88477 0.843085 0.0212686;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1819;1789213143219;-0.0120073,-0.0317926,-0.014702;-2.66141,-1.95984 -10,-1.95984 -10,-2.40289 3.33035,-1.75244 3.14596,2.01967 10,2.01967 10,2.58333 -2.8524,1.95354;0.858848 2.66539 0.804782 0.021685 0.682405 1.88477 0.842318 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1820;1789213143275;-0.0119862,-0.0318722,-0.0150627;-2.66182,-1.95984 -10,-1.95984 -10,-2.39769 3.32974,-1.74991 3.14704,2.01967 10,2.01967 10,2.5795 -2.85192,1.95668;0.858924 2.66539 0.803709 0.0216849 0.682562 1.88477 0.841489 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1821;1789213143328;-0.0119641,-0.0319604,-0.0151324;-2.6619,-1.95984 -10,-1.95984 -10,-2.39486 3.32881,-1.75409 3.14749,2.01967 10,2.01967 10,2.57437 -2.84996,1.95805;0.858919 2.66539 0.803109 0.0216848 0.682619 1.88477 0.840389 0.021269;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1822;1789213143376;-0.0121171,-0.0319509,-0.0154958;-2.66312,-1.95984 -10,-1.95984 -10,-2.38956 3.32893,-1.75358 3.14872,2.01967 10,2.01967 10,2.57144 -2.85014,1.95777;0.859168 2.66539 0.80201 0.0216855 0.682805 1.88477 0.839764 0.0212695;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1823;1789213143421;-0.0122802,-0.0319318,-0.0150801;-2.66368,-1.95984 -10,-1.95984 -10,-2.38978 3.32829,-1.7559 3.14834,2.01967 10,2.01967 10,2.57043 -2.85086,1.95692;0.85929 2.66539 0.802049 0.0216851 0.682741 1.88477 0.839552 0.0212701;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1824;1789213143470;-0.0123437,-0.0319545,-0.0148406;-2.66084,-1.95984 -10,-1.95984 -10,-2.40026 3.33076,-1.75008 3.14707,2.01967 10,2.01967 10,2.58181 -2.85171,1.95565;0.858724 2.66539 0.804242 0.0216855 0.682576 1.88477 0.841987 0.0212692;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1825;1789213143529;-0.0123596,-0.0320044,-0.0140805;-2.66038,-1.95984 -10,-1.95984 -10,-2.40945 3.3321,-1.75079 3.14605,2.01967 10,2.01967 10,2.58624 -2.85363,1.95181;0.858654 2.66539 0.806153 0.0216856 0.682434 1.88477 0.842947 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1826;1789213143583;-0.0123659,-0.0320483,-0.0137793;-2.66082,-1.95984 -10,-1.95984 -10,-2.41154 3.33042,-1.74972 3.14353,2.01967 10,2.01967 10,2.58888 -2.85454,1.95206;0.858753 2.66539 0.806591 0.0216838 0.682044 1.88477 0.84351 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1827;1789213143632;-0.0123634,-0.0320855,-0.013775;-2.66093,-1.95984 -10,-1.95984 -10,-2.40597 3.33104,-1.7539 3.14579,2.01967 10,2.01967 10,2.58284 -2.85297,1.95222;0.858758 2.66539 0.80542 0.0216854 0.682385 1.88477 0.842218 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1828;1789213143676;-0.0123586,-0.0321387,-0.0135589;-2.6597,-1.95984 -10,-1.95984 -10,-2.41312 3.33166,-1.74956 3.14404,2.01967 10,2.01967 10,2.59171 -2.85464,1.95049;0.858529 2.66539 0.80692 0.0216846 0.682131 1.88477 0.844121 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1829;1789213143727;-0.0123487,-0.0322373,-0.0135053;-2.65825,-1.95984 -10,-1.95984 -10,-2.40824 3.33214,-1.73861 3.14372,2.01967 10,2.01967 10,2.59504 -2.85477,1.9508;0.858237 2.66539 0.805937 0.0216848 0.682092 1.88477 0.844833 0.0212695;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1830;1789213143779;-0.0123397,-0.0323217,-0.0134282;-2.6606,-1.95984 -10,-1.95984 -10,-2.40802 3.3318,-1.74731 3.14507,2.01967 10,2.01967 10,2.59028 -2.8548,1.95247;0.858712 2.66539 0.805866 0.0216852 0.682287 1.88477 0.843808 0.0212703;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1831;1789213143838;-0.012338,-0.032321,-0.0132909;-2.66082,-1.95984 -10,-1.95984 -10,-2.40837 3.33376,-1.74014 3.14569,2.01967 10,2.01967 10,2.59123 -2.85614,1.95056;0.858772 2.66539 0.80596 0.0216863 0.682401 1.88477 0.844019 0.021271;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1832;1789213143889;-0.012337,-0.0323202,-0.0132967;-2.66099,-1.95984 -10,-1.95984 -10,-2.39871 3.33087,-1.74227 3.14502,2.01967 10,2.01967 10,2.58622 -2.85448,1.95237;0.858786 2.66539 0.803943 0.0216852 0.682273 1.88477 0.842941 0.0212705;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1833;1789213143937;-0.0123333,-0.0323841,-0.0132557;-2.65912,-1.95984 -10,-1.95984 -10,-2.41689 3.33332,-1.74883 3.14473,2.01967 10,2.01967 10,2.59295 -2.85499,1.94944;0.858415 2.66539 0.807709 0.0216856 0.682249 1.88477 0.844391 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1834;1789213143983;-0.0123304,-0.0324448,-0.0129576;-2.65997,-1.95984 -10,-1.95984 -10,-2.41787 3.3332,-1.7462 3.14374,2.01967 10,2.01967 10,2.59582 -2.85677,1.94888;0.858608 2.66539 0.807922 0.0216851 0.682101 1.88477 0.845008 0.0212708;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1835;1789213144033;-0.0122057,-0.0325107,-0.0125916;-2.65851,-1.95984 -10,-1.95984 -10,-2.41966 3.33402,-1.74794 3.14373,2.01967 10,2.01967 10,2.60094 -2.85598,1.94977;0.858303 2.66539 0.808291 0.0216858 0.682107 1.88477 0.846102 0.0212696;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1836;1789213144087;-0.0120474,-0.032582,-0.0128108;-2.65925,-1.95984 -10,-1.95984 -10,-2.42361 3.33499,-1.74749 3.14393,2.01967 10,2.01967 10,2.6 -2.8569,1.94882;0.858462 2.66539 0.809116 0.0216861 0.682146 1.88477 0.845905 0.0212704;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1837;1789213144144;-0.012017,-0.0325844,-0.0127224;-2.65714,-1.95984 -10,-1.95984 -10,-2.4223 3.33319,-1.74794 3.14253,2.01967 10,2.01967 10,2.59809 -2.85507,1.94844;0.858018 2.66539 0.808842 0.0216847 0.68192 1.88477 0.845496 0.0212692;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1838;1789213144198;-0.0120722,-0.0325414,-0.0127932;-2.65945,-1.95984 -10,-1.95984 -10,-2.41947 3.33371,-1.74581 3.14371,2.01967 10,2.01967 10,2.5972 -2.8568,1.94836;0.858503 2.66539 0.808257 0.0216854 0.682102 1.88477 0.845306 0.0212706;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1839;1789213144242;-0.0121273,-0.0325822,-0.0132;-2.6597,-1.95984 -10,-1.95984 -10,-2.41555 3.33292,-1.75154 3.14523,2.01967 10,2.01967 10,2.59111 -2.85428,1.95126;0.858525 2.66539 0.807422 0.0216856 0.682319 1.88477 0.843992 0.0212697;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1840;1789213144289;-0.0121944,-0.0326835,-0.0124573;-2.65836,-1.95984 -10,-1.95984 -10,-2.41403 3.3329,-1.739 3.14317,2.01967 10,2.01967 10,2.59661 -2.85609,1.94923;0.858274 2.66539 0.807143 0.0216848 0.682017 1.88477 0.845177 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1841;1789213144339;-0.0122345,-0.0327607,-0.0126762;-2.65873,-1.95984 -10,-1.95984 -10,-2.42086 3.33413,-1.7447 3.14388,2.01967 10,2.01967 10,2.59966 -2.85662,1.94916;0.858355 2.66539 0.80855 0.0216855 0.682131 1.88477 0.845831 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1842;1789213144395;-0.0122093,-0.0327808,-0.0126737;-2.65912,-1.95984 -10,-1.95984 -10,-2.4102 3.3335,-1.73894 3.14449,2.01967 10,2.01967 10,2.59699 -2.85603,1.95007;0.858428 2.66539 0.806344 0.0216858 0.682219 1.88477 0.845254 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1843;1789213144452;-0.0121699,-0.0328008,-0.0127069;-2.6584,-1.95984 -10,-1.95984 -10,-2.4118 3.33442,-1.74029 3.14482,2.01967 10,2.01967 10,2.59818 -2.8557,1.94955;0.858279 2.66539 0.806673 0.0216865 0.682276 1.88477 0.845512 0.0212697;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1844;1789213144498;-0.0120737,-0.0328159,-0.0120666;-2.65902,-1.95984 -10,-1.95984 -10,-2.42377 3.33495,-1.74288 3.14212,2.01967 10,2.01967 10,2.60446 -2.85894,1.94724;0.85844 2.66539 0.809164 0.0216857 0.681877 1.88477 0.846867 0.0212713;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1845;1789213144548;-0.0119687,-0.0328323,-0.0122048;-2.65696,-1.95984 -10,-1.95984 -10,-2.42911 3.33423,-1.74034 3.13957,2.01967 10,2.01967 10,2.60903 -2.85865,1.94514;0.858024 2.66539 0.810288 0.0216842 0.681492 1.88477 0.847855 0.0212703;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1846;1789213144595;-0.011897,-0.0327612,-0.0120378;-2.65722,-1.95984 -10,-1.95984 -10,-2.42674 3.33431,-1.74783 3.14293,2.01967 10,2.01967 10,2.60035 -2.85585,1.94822;0.858042 2.66539 0.80977 0.0216851 0.681989 1.88477 0.845981 0.0212695;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1847;1789213144651;-0.0118104,-0.0326755,-0.0118358;-2.65587,-1.95984 -10,-1.95984 -10,-2.42917 3.33647,-1.74359 3.14255,2.01967 10,2.01967 10,2.6083 -2.85741,1.94645;0.85779 2.66539 0.810291 0.0216864 0.681955 1.88477 0.847694 0.0212695;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1848;1789213144704;-0.0117739,-0.0327187,-0.0121712;-2.65718,-1.95984 -10,-1.95984 -10,-2.42805 3.3345,-1.74571 3.1424,2.01967 10,2.01967 10,2.60346 -2.85671,1.9479;0.858045 2.66539 0.810051 0.021685 0.681913 1.88477 0.846651 0.0212697;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1849;1789213144759;-0.0117467,-0.0327959,-0.0112957;-2.6557,-1.95984 -10,-1.95984 -10,-2.43528 3.33662,-1.74389 3.14129,2.01967 10,2.01967 10,2.61058 -2.85795,1.94476;0.857761 2.66539 0.811567 0.0216858 0.681768 1.88477 0.84819 0.0212695;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1850;1789213144807;-0.0116717,-0.0327714,-0.0111234;-2.65436,-1.95984 -10,-1.95984 -10,-2.42803 3.33559,-1.73224 3.14006,2.01967 10,2.01967 10,2.61465 -2.85771,1.94571;0.857488 2.66539 0.810088 0.0216849 0.681581 1.88477 0.84906 0.0212689;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1851;1789213144853;-0.0115792,-0.0327137,-0.0113942;-2.65773,-1.95984 -10,-1.95984 -10,-2.4288 3.33559,-1.74533 3.14229,2.01967 10,2.01967 10,2.60629 -2.85829,1.94654;0.858173 2.66539 0.810207 0.0216858 0.681907 1.88477 0.847261 0.0212705;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1852;1789213144900;-0.0114981,-0.0326958,-0.0121059;-2.65618,-1.95984 -10,-1.95984 -10,-2.42657 3.33432,-1.7474 3.14183,2.01967 10,2.01967 10,2.60296 -2.85558,1.94677;0.85783 2.66539 0.809734 0.0216851 0.681826 1.88477 0.846547 0.0212688;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1853;1789213144956;-0.0114147,-0.0327184,-0.0121962;-2.65747,-1.95984 -10,-1.95984 -10,-2.42452 3.33627,-1.74515 3.14454,2.01967 10,2.01967 10,2.60332 -2.85668,1.94886;0.858101 2.66539 0.809312 0.021687 0.682249 1.88477 0.846617 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1854;1789213145010;-0.0113606,-0.0327411,-0.0126466;-2.65773,-1.95984 -10,-1.95984 -10,-2.42271 3.334,-1.74752 3.14382,2.01967 10,2.01967 10,2.59801 -2.85524,1.94939;0.858137 2.66539 0.808928 0.0216853 0.68212 1.88477 0.845477 0.0212694;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1855;1789213145066;-0.0113641,-0.0327667,-0.0126451;-2.65847,-1.95984 -10,-1.95984 -10,-2.41729 3.33453,-1.74981 3.14606,2.01967 10,2.01967 10,2.59302 -2.85392,1.95051;0.858272 2.66539 0.807789 0.0216867 0.682459 1.88477 0.844402 0.0212691;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1856;1789213145114;-0.0113922,-0.0328024,-0.012543;-2.65592,-1.95984 -10,-1.95984 -10,-2.42307 3.33442,-1.74634 3.1434,2.01967 10,2.01967 10,2.60083 -2.85421,1.94939;0.85776 2.66539 0.809006 0.0216856 0.682061 1.88477 0.846081 0.0212682;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1857;1789213145158;-0.0114745,-0.032866,-0.0124497;-2.65779,-1.95984 -10,-1.95984 -10,-2.42292 3.33446,-1.74722 3.14328,2.01967 10,2.01967 10,2.6007 -2.85658,1.94706;0.858166 2.66539 0.808972 0.0216857 0.682043 1.88477 0.84606 0.0212699;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1858;1789213145208;-0.0115683,-0.0329391,-0.0128004;-2.65883,-1.95984 -10,-1.95984 -10,-2.41651 3.3334,-1.7474 3.14406,2.01967 10,2.01967 10,2.59439 -2.85502,1.94914;0.858357 2.66539 0.807634 0.0216856 0.68215 1.88477 0.8447 0.0212696;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1859;1789213145261;-0.0117521,-0.0328604,-0.0122937;-2.65773,-1.95984 -10,-1.95984 -10,-2.42236 3.33484,-1.74223 3.14305,2.01967 10,2.01967 10,2.60355 -2.85709,1.94713;0.85816 2.66539 0.808872 0.0216857 0.682015 1.88477 0.846673 0.0212699;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1860;1789213145314;-0.01194,-0.032775,-0.0126428;-2.65895,-1.95984 -10,-1.95984 -10,-2.41666 3.33285,-1.74486 3.14295,2.01967 10,2.01967 10,2.59605 -2.8561,1.94881;0.858393 2.66539 0.807674 0.0216849 0.681982 1.88477 0.845058 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1861;1789213145365;-0.0119774,-0.0328538,-0.0123184;-2.6573,-1.95984 -10,-1.95984 -10,-2.41991 3.3347,-1.74505 3.1443,2.01967 10,2.01967 10,2.59964 -2.85504,1.94731;0.85805 2.66539 0.808351 0.0216861 0.6822 1.88477 0.845833 0.0212688;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1862;1789213145414;-0.0119867,-0.0329599,-0.0125835;-2.65898,-1.95984 -10,-1.95984 -10,-2.41919 3.33405,-1.74662 3.14381,2.01967 10,2.01967 10,2.59685 -2.85611,1.94869;0.858399 2.66539 0.808197 0.0216858 0.682119 1.88477 0.845229 0.0212701;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1863;1789213145463;-0.0119581,-0.0329381,-0.011863;-2.65746,-1.95984 -10,-1.95984 -10,-2.4259 3.33522,-1.7434 3.1429,2.01967 10,2.01967 10,2.60274 -2.85708,1.94695;0.858106 2.66539 0.809607 0.0216857 0.681996 1.88477 0.846499 0.02127;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1864;1789213145515;-0.0119105,-0.0328549,-0.011694;-2.65524,-1.95984 -10,-1.95984 -10,-2.42445 3.33554,-1.73323 3.14159,2.01967 10,2.01967 10,2.61025 -2.85729,1.94456;0.857662 2.66539 0.809335 0.0216853 0.681809 1.88477 0.84812 0.021269;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1865;1789213145569;-0.0119635,-0.0328102,-0.0124897;-2.65703,-1.95984 -10,-1.95984 -10,-2.42498 3.33397,-1.74255 3.14158,2.01967 10,2.01967 10,2.60162 -2.85672,1.94586;0.858016 2.66539 0.809417 0.0216846 0.681788 1.88477 0.846263 0.0212698;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1866;1789213145623;-0.0121316,-0.0328126,-0.0124276;-2.65992,-1.95984 -10,-1.95984 -10,-2.41961 3.33348,-1.74698 3.14353,2.01967 10,2.01967 10,2.59727 -2.85675,1.94943;0.858597 2.66539 0.808283 0.0216852 0.682072 1.88477 0.845316 0.0212707;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1867;1789213145674;-0.0122282,-0.0327989,-0.0125396;-2.65833,-1.95984 -10,-1.95984 -10,-2.41866 3.33323,-1.74662 3.14352,2.01967 10,2.01967 10,2.59617 -2.8553,1.94935;0.858261 2.66539 0.808086 0.0216851 0.682068 1.88477 0.84508 0.0212696;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
1868;1789213145720;-0.0122043,-0.0327583,-0.0125157;-2.65845,-1.95984 -10,-1.95984 -10,-2.42022 3.33267,-1.74545 3.14219,2.01967 10,2.01967 10,2.59809 -2.85627,1.94926;0.858295 2.66539 0.808415 0.0216843 0.681866 1.88477 0.845493 0.0212702;0.5 0.5 0.00291148 0.00319326 0.353553 0.5 0.00260548 0.00295021;1,0
