# frame;ts_ms;est_x,est_y,est_th;verts;corner_sigma;edge_sigma_d;closed,publishable
14;1789213051081;-0.000299627,-0.00125064,0.000655661;-10,-2.51833 3.36695,-1.66337 3.13209,2.01967 10,2.01967 10,2.7619 -2.85994,1.94376 -2.85994,10 -3.38482,10 -2.62095,-1.95984 -10,-1.95984;0.829382 0.0216965 0.680777 1.88477 0.881108 0.715131 2.66539 1.01975 0.850976 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
15;1789213051140;-0.000325836,-0.00135982,-6.1785e-05;-10,-2.51283 3.36668,-1.66429 3.13273,2.01967 10,2.01967 10,2.75952 -2.85994,1.9431 -2.85994,10 -3.38108,10 -2.62156,-1.95984 -10,-1.95984;0.828209 0.021697 0.680868 1.88477 0.880587 0.715004 2.66539 1.01887 0.851085 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
16;1789213051186;-0.000346357,-0.00144516,-1.04524e-05;-10,-2.51194 3.3686,-1.66437 3.13502,2.01967 10,2.01967 10,2.76024 -2.85994,1.94454 -2.85994,10 -3.37975,10 -2.62167,-1.95984 -10,-1.95984;0.828019 0.0216988 0.681226 1.88477 0.880739 0.715269 2.66539 1.01855 0.851102 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
17;1789213051237;-0.00036922,-0.00154044,0.000845096;-10,-2.52326 3.36846,-1.66232 3.13129,2.01967 10,2.01967 10,2.76825 -2.85994,1.9423 -2.85994,10 -3.38829,10 -2.61864,-1.95984 -10,-1.95984;0.830438 0.0216971 0.680679 1.88477 0.882512 0.714887 2.66539 1.02057 0.850513 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
18;1789213051281;-0.000388702,-0.00162184,0.00117278;-10,-2.51633 3.36722,-1.66197 3.13218,2.01967 10,2.01967 10,2.76206 -2.85994,1.94224 -2.85994,10 -3.38386,10 -2.62026,-1.95984 -10,-1.95984;0.828963 0.0216969 0.680795 1.88477 0.881149 0.714854 2.66539 1.01952 0.850828 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
19;1789213051336;-0.000413378,-0.00172508,0.00143516;-10,-2.52356 3.36829,-1.66006 3.13084,2.01967 10,2.01967 10,2.77057 -2.85994,1.94106 -2.85994,10 -3.39225,10 -2.62035,-1.95984 -10,-1.95984;0.83051 0.0216968 0.680613 1.88477 0.88303 0.714668 2.66539 1.02148 0.850885 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
20;1789213051389;-0.000437102,-0.00182435,0.00127686;-10,-2.52413 3.36994,-1.65856 3.13188,2.01967 10,2.01967 10,2.7732 -2.85994,1.94051 -2.85994,10 -3.39314,10 -2.61884,-1.95984 -10,-1.95984;0.830636 0.0216981 0.680786 1.88477 0.883611 0.714576 2.66539 1.0217 0.850577 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
21;1789213051443;-0.000460853,-0.00192361,0.000859462;-10,-2.52093 3.36684,-1.66207 3.13063,2.01967 10,2.01967 10,2.76609 -2.85994,1.94164 -2.85994,10 -3.38799,10 -2.62098,-1.95984 -10,-1.95984;0.829941 0.021696 0.680563 1.88477 0.88204 0.714759 2.66539 1.02049 0.850996 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
22;1789213051492;-0.000482717,-0.00201493,0.000963961;-10,-2.52593 3.37012,-1.65948 3.1324,2.01967 10,2.01967 10,2.77041 -2.85994,1.9397 -2.85994,10 -3.39331,10 -2.62021,-1.95984 -10,-1.95984;0.831017 0.0216981 0.680864 1.88477 0.883 0.714418 2.66539 1.02173 0.850861 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
23;1789213051540;-0.000504109,-0.00210427,0.000863462;-10,-2.51416 3.36742,-1.66278 3.13277,2.01967 10,2.01967 10,2.76093 -2.85994,1.9425 -2.85994,10 -3.38365,10 -2.62187,-1.95984 -10,-1.95984;0.828497 0.0216974 0.680884 1.88477 0.880899 0.714897 2.66539 1.01947 0.851162 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
24;1789213051588;-0.000525487,-0.0021936,0.00120242;-10,-2.5287 3.36899,-1.66102 3.1303,2.01967 10,2.01967 10,2.77414 -2.85994,1.93994 -2.85994,10 -3.39476,10 -2.619,-1.95984 -10,-1.95984;0.831603 0.0216968 0.680542 1.88477 0.883822 0.714475 2.66539 1.02208 0.850617 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
25;1789213051646;-0.000551113,-0.00230082,0.00143947;-10,-2.52204 3.36831,-1.66088 3.13117,2.01967 10,2.01967 10,2.76831 -2.85994,1.9403 -2.85994,10 -3.39041,10 -2.61997,-1.95984 -10,-1.95984;0.830183 0.021697 0.680661 1.88477 0.882534 0.714519 2.66539 1.02106 0.850799 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
26;1789213051697;-0.000573886,-0.00239612,0.00126569;-10,-2.52189 3.36729,-1.6599 3.13013,2.01967 10,2.01967 10,2.7692 -2.85994,1.94072 -2.85994,10 -3.39122,10 -2.62045,-1.95984 -10,-1.95984;0.830155 0.0216961 0.680497 1.88477 0.882729 0.714601 2.66539 1.02124 0.850902 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
27;1789213051758;-0.000600952,-0.00250928,0.00105539;-10,-2.52693 3.36909,-1.65973 3.13074,2.01967 10,2.01967 10,2.77256 -2.85994,1.93965 -2.85994,10 -3.39447,10 -2.61961,-1.95984 -10,-1.95984;0.831231 0.0216971 0.680608 1.88477 0.883473 0.714416 2.66539 1.02201 0.850742 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
28;1789213051803;-0.000620889,-0.00259266,0.00149413;-10,-2.52768 3.36971,-1.66223 3.13109,2.01967 10,2.01967 10,2.77296 -2.85994,1.93917 -2.85994,10 -3.39357,10 -2.61896,-1.95984 -10,-1.95984;0.831378 0.0216977 0.680665 1.88477 0.883564 0.714329 2.66539 1.0218 0.850604 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
29;1789213051852;-0.000642706,-0.002684,0.00132954;-10,-2.52592 3.36933,-1.66315 3.13174,2.01967 10,2.01967 10,2.77082 -2.85994,1.93987 -2.85994,10 -3.39322,10 -2.62011,-1.95984 -10,-1.95984;0.831001 0.0216976 0.680756 1.88477 0.883089 0.714451 2.66539 1.02171 0.850839 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
30;1789213051900;-0.000664081,-0.00277334,0.00083472;-10,-2.52187 3.36825,-1.66269 3.13208,2.01967 10,2.01967 10,2.76511 -2.85994,1.94035 -2.85994,10 -3.38724,10 -2.62053,-1.95984 -10,-1.95984;0.830139 0.0216971 0.680792 1.88477 0.881829 0.714518 2.66539 1.02031 0.850901 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
31;1789213051950;-0.000686404,-0.00286664,0.00136492;-10,-2.52721 3.36941,-1.66124 3.13133,2.01967 10,2.01967 10,2.76925 -2.85994,1.93832 -2.85994,10 -3.39267,10 -2.61917,-1.95984 -10,-1.95984;0.831284 0.0216974 0.680698 1.88477 0.88275 0.71416 2.66539 1.02159 0.850643 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
32;1789213051995;-0.000706345,-0.00295003,0.00104265;-10,-2.52782 3.36875,-1.66185 3.13046,2.01967 10,2.01967 10,2.77125 -2.85994,1.93818 -2.85994,10 -3.39434,10 -2.61963,-1.95984 -10,-1.95984;0.831411 0.0216968 0.680562 1.88477 0.883191 0.714141 2.66539 1.02198 0.850747 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
33;1789213052050;-0.000731049,-0.00305326,0.00104446;-10,-2.52378 3.368,-1.66326 3.13101,2.01967 10,2.01967 10,2.76668 -2.85994,1.94047 -2.85994,10 -3.39052,10 -2.62024,-1.95984 -10,-1.95984;0.830545 0.0216967 0.680633 1.88477 0.882174 0.714546 2.66539 1.02108 0.850854 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
34;1789213052104;-0.000755257,-0.00315452,0.00141362;-10,-2.52721 3.36907,-1.66157 3.13096,2.01967 10,2.01967 10,2.77154 -2.85994,1.93816 -2.85994,10 -3.39413,10 -2.61985,-1.95984 -10,-1.95984;0.831281 0.0216971 0.680639 1.88477 0.883255 0.71414 2.66539 1.02193 0.850791 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
35;1789213052154;-0.000777513,-0.00324784,0.00228445;-10,-2.53892 3.37002,-1.65731 3.1277,2.01967 10,2.01967 10,2.78316 -2.85994,1.9351 -2.85994,10 -3.40645,10 -2.61815,-1.95984 -10,-1.95984;0.833798 0.0216963 0.680177 1.88477 0.885833 0.713621 2.66539 1.02482 0.850495 2.66539;0.00291148 0.00319326 0.353553 0.5 0.00260548 0.5 0.5 0.00295021 0.5 0.5;1,0
