t_ms,node,yaw,hi,sdf0,sdf90,sdf180,sdf270,best_deg
466775406,chair_1,14.179,1010,0.181621,0.293536,0.363123,0.227964,0
466775504,chair_1,14.179,1255,0.229434,0.335266,0.403808,0.27181,0
466775605,chair_1,14.179,1517,0.307727,0.378584,0.479487,0.384451,0
466775707,chair_1,14.179,1852,0.310432,0.376646,0.480233,0.38814,0
466775807,chair_1,14.179,1578,0.249005,0.342286,0.451292,0.345027,0
466775908,chair_1,14.179,1334,0.13405,0.287496,0.360322,0.205817,0
466776106,chair_1,14.179,1982,0.265174,0.325409,0.435759,0.356768,0
466776207,chair_1,14.179,1868,0.209697,0.292112,0.39517,0.291562,0
466776305,chair_1,14.179,1337,0.177411,0.297957,0.378043,0.243724,0
466778503,chair_1,14.179,1924,0.22832,0.227174,0.377564,0.376425,90
466778605,chair_1,14.179,2618,0.183901,0.182635,0.367148,0.360634,90
466778706,chair_1,14.179,3326,0.217316,0.218204,0.396572,0.377352,0
466778804,chair_1,14.179,3890,0.226209,0.233734,0.402323,0.369646,0
466778908,chair_1,14.179,5400,0.164378,0.19179,0.370797,0.329109,0
466779003,chair_1,14.179,5277,0.320154,0.34306,0.489197,0.451482,0
466779103,chair_1,14.179,5032,0.159859,0.179281,0.348426,0.319811,0
466779206,chair_1,14.179,5095,0.164954,0.186061,0.34629,0.313759,0
466779308,chair_1,14.179,5270,0.0985321,0.161982,0.321583,0.261134,0
466779405,chair_1,14.1836,5379,0.103522,0.168526,0.320047,0.253929,0
466779506,chair_1,14.1837,5677,0.0859255,0.15621,0.314921,0.248574,0
466779610,chair_1,14.1888,5760,0.111587,0.179951,0.330224,0.260096,0
466779704,chair_1,14.1877,5648,0.119492,0.169686,0.332487,0.278634,0
466779810,chair_1,14.182,6086,0.0999029,0.166319,0.33726,0.280266,0
466779905,chair_1,14.181,6709,0.0902987,0.16824,0.326561,0.257547,0
466780003,chair_1,14.1803,7084,0.0897392,0.174901,0.327498,0.250899,0
466780104,chair_1,14.1766,7959,0.0863939,0.17038,0.326655,0.254681,0
466780204,chair_1,14.1766,8459,0.0755475,0.166341,0.316272,0.236475,0
466780406,chair_1,14.1766,9257,0.0826317,0.153299,0.318466,0.260011,0
466780504,chair_1,14.1831,9757,0.109147,0.159521,0.335316,0.288648,0
466780605,chair_1,14.1831,9902,0.11859,0.164672,0.333368,0.287269,0
466781206,chair_1,14.1831,6654,0.106477,0.110499,0.344844,0.33197,0
