cycle,node,fresh,fe,warm_conf,settle_maturity,frames_converged,pts,silres,mask_conf,mask_w,state_cx,state_cy,state_cz,state_yaw,state_seat_w,state_seat_d,state_seat_h,state_back_h,obs_cx,obs_cy,obs_cz,obs_yaw,obs_seat_w,obs_seat_d,obs_seat_h,obs_back_h,acc_cx,acc_cy,acc_cz,acc_yaw,acc_seat_w,acc_seat_d,acc_seat_h,acc_back_h,raw_cx,raw_cy,raw_cz,raw_yaw,raw_seat_w,raw_seat_d,raw_seat_h,raw_back_h,std_cx,std_cy,std_cz,std_yaw,std_seat_w,std_seat_d,std_seat_h,std_back_h,gain_cx,gain_cy,gain_cz,gain_yaw,gain_seat_w,gain_seat_d,gain_seat_h,gain_back_h,ext_hw02,ext_hh02,ext_hw05,ext_hh05,ext_hw10,ext_hh10,ext_offx,ext_offy,n_top,n_leg,n_pts,ce_cx,ce_cy,ce_cz,ce_yaw,ce_seat_w,ce_seat_d,ce_seat_h,ce_back_h,ceg_cx,ceg_cy,ceg_cz,ceg_yaw,ceg_seat_w,ceg_seat_d,ceg_seat_h,ceg_back_h
8999,chair_2,1,0.921964,0.390848,6873,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.83,194.524,8706.61,10816.1,2400.57,0,35.6848,53.3677,4.44307,22.9327,24.9232,53.9478,3.94031,12.4705,36868.6,30018.4,11646.4,1535.34,23516.1,26899.7,11082.7,1224.15,5.208,5.77173,9.26626,25.521,6.52105,6.09714,9.49897,28.5814,0.0483866,0.0297608,0.106341,0.0186688,0.0514114,0.0277532,0.108784,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-1.06904,1.06904,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8571,chair_3,1,0.387315,0.745294,565,30,412,0,0.457031,0.734056,-1.63036,-0.106453,0,55.0143,0.426576,0.425197,0.484597,0.474276,39381.5,30376.3,128009,5683.35,9353.73,12412.1,127553,50.4869,68.4422,46.748,38.1323,19.6149,20.8088,37.3986,37.9795,2.41787,63996.3,53210.9,160009,10898.3,24577.2,29336.1,159534,1436.27,3.95296,4.33511,2.49993,9.57902,6.37873,5.83847,2.50365,26.3866,0.033983,0.0450393,0.0762282,0.089053,0.0614292,0.040923,0.0764604,0.0219142,0.228953,0.224196,0.214696,0.205043,0.196467,0.183406,0.0171476,0.0526522,453,338,791,0.4641,-0.0548608,-0.000956251,-0.0266615,0.087134,-0.00405646,-0.000406901,0.0248068,0,0,0,0,0,0,0,0
9000,chair_2,1,0.921863,0.390764,6874,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.82,194.524,8706.61,10816.1,2400.57,0,35.7193,53.1156,4.41538,22.721,25.0391,53.9434,3.91626,12.3458,36868.6,30018.4,11642.9,1525.52,23516.2,26899.7,11078.8,1187.8,5.208,5.77173,9.26764,25.6031,6.52104,6.09714,9.50064,29.0154,0.0483441,0.0298929,0.106725,0.0189382,0.0512032,0.0277553,0.109155,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.855231,0.855231,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8572,chair_3,1,0.387175,0.745337,566,30,412,0,0.457031,0.734056,-1.63036,-0.106453,0,55.0143,0.426576,0.425197,0.484597,0.474276,39381.3,30376.3,128008,5683.35,9353.73,12412.1,127552,50.4867,68.4515,46.7962,38.2834,19.8041,20.8352,37.4411,38.1303,2.4195,63996.1,53210.9,160008,10898.3,24577.2,29336.1,159534,1436.97,3.95297,4.33511,2.49993,9.57903,6.37873,5.83847,2.50365,26.3801,0.0339785,0.0449961,0.0759521,0.0883325,0.0613632,0.0408805,0.0761831,0.0218977,0.228953,0.224196,0.214696,0.205043,0.196467,0.183406,0.0171476,0.0526522,453,338,791,0.37128,-0.0438887,-0.000765001,-0.0213292,0.0697072,-0.00324517,-0.00032552,0.0198455,0,0,0,0,0,0,0,0
9001,chair_2,1,0.921765,0.390718,6875,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.82,194.524,8706.61,10816.1,2400.56,0,35.7535,52.866,4.38797,22.5115,25.1538,53.939,3.89244,12.2223,36868.6,30018.4,11640.8,1518.12,23516.2,26899.7,11076.4,1153.54,5.208,5.77173,9.26847,25.6653,6.52104,6.09714,9.50167,29.4431,0.0483021,0.0300248,0.107095,0.0191811,0.0509987,0.0277575,0.10951,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.684185,0.684185,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8573,chair_3,1,0.387039,0.745359,567,30,412,0,0.457031,0.734056,-1.63036,-0.106453,0,55.0143,0.426576,0.425197,0.484597,0.474276,39381.2,30376.3,128008,5683.35,9353.73,12412,127552,50.4865,68.4608,46.8439,38.4329,19.9913,20.8613,37.4832,38.2795,2.42112,63996,53210.9,160008,10898.3,24577.2,29336,159533,1437.62,3.95297,4.33511,2.49994,9.57903,6.37873,5.83848,2.50365,26.3741,0.0339741,0.0449534,0.0756807,0.0876306,0.0612979,0.0408385,0.0759105,0.0218821,0.228953,0.224196,0.214696,0.205043,0.196467,0.183406,0.0171476,0.0526521,453,338,791,0.297024,-0.0351109,-0.000612001,-0.0170634,0.0557658,-0.00259613,-0.000260416,0.0158764,0,0,0,0,0,0,0,0
9002,chair_2,1,0.92167,0.390693,6876,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.81,194.525,8706.61,10816.1,2400.56,0,35.7873,52.6189,4.36084,22.304,25.2674,53.9346,3.86886,12.1001,36868.7,30018.4,11639.6,1512.55,23516.2,26899.7,11075,1121.21,5.208,5.77173,9.26897,25.7125,6.52104,6.09714,9.5023,29.8646,0.0482606,0.0301566,0.107457,0.019404,0.050798,0.0277596,0.109855,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.211161,0.0449007,-0.142286,143,179,322,-0.547348,0.547348,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8574,chair_3,1,0.386907,0.745371,568,30,411,0,0.457031,0.734056,-1.63036,-0.106453,0,55.0143,0.426576,0.425197,0.484597,0.474276,39381.1,30376.2,128007,5683.34,9353.72,12412,127552,50.4863,68.47,46.8912,38.581,20.1767,20.8872,37.5248,38.4272,2.42273,63995.9,53210.8,160008,10898.3,24577.2,29336,159533,1438.23,3.95297,4.33511,2.49994,9.57903,6.37873,5.83848,2.50366,26.3685,0.0339698,0.0449112,0.0754139,0.0869465,0.0612334,0.0407971,0.0756426,0.0218672,0.228953,0.224196,0.214696,0.205043,0.196467,0.183406,0.0171475,0.0526521,453,338,791,0.237619,-0.0280887,-0.000489601,-0.0136507,0.0446126,-0.00207691,-0.000208333,0.0127011,0,0,0,0,0,0,0,0
9003,chair_2,1,0.921577,0.390679,6877,30,281,0,0.911621,1,-0.299267,0.924334,0,3.16646,0.414152,0.429164,0.451628,0.49392,17683.4,12869.5,2622.81,194.525,8706.61,10816.1,2400.56,0,35.8207,52.3743,4.33398,22.0987,25.3799,53.9303,3.84552,11.9791,36868.7,30018.4,11638.8,1508.36,23516.2,26899.7,11074,1090.64,5.208,5.77173,9.26927,25.7483,6.52104,6.09714,9.50269,30.2803,0.0482196,0.0302882,0.107812,0.0196115,0.0506008,0.0277617,0.110193,0,0.272722,0.255868,0.23327,0.237041,0.192965,0.21116,0.0449007,-0.142286,143,179,322,-0.437878,0.437878,-2.8026e-45,-2.8026e-45,-2.8026e-45,2.8026e-45,-2.8026e-45,2.8026e-45,0,0,0,0,0,0,0,0
8575,chair_3,1,0.386591,0.578866,569,15,412,0,0.457031,0.734056,-1.63036,-0.106779,0,55.0135,0.426576,0.425312,0.484346,0.47443,40757.4,7602.24,8960.43,1043,1626.34,15214.1,8829.41,21.4362,68.5033,46.5513,38.2324,20.0457,20.7191,37.66,38.0796,2.40946,65372.2,30436.9,40960.7,6257.91,16849.8,32138,40810.7,1409.75,3.91114,5.73192,4.94101,12.6411,7.70376,5.57815,4.95009,26.6335,0,0.0196318,0.0205497,0.027575,0,0.0456014,0.0203973,0.00946992,0.228829,0.224202,0.214662,0.205099,0.196401,0.183422,0.0168214,0.0527404,453,338,791,0.971676,-0.022471,-0.000391681,-0.0109206,0.402835,-0.00166152,-0.000166667,0.0101609,-1,0,0,0,-1,0,0,0
