rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
1,1,0.280711,0.333333,0.204048,0.298356,0.333333,7.53019,9.82106,238
2,1,0.323257,0.5,0.339113,0.471525,0.5,6.57067,8.52114,113
4,1,0.305879,0.6,0.339627,0.577998,0.6,7.08974,8.8606,256
5,1,0.323787,0.666667,0.437096,0.647669,0.666666,6.94938,8.66022,186
6,1,0.314352,0.714286,0.508097,0.69789,0.714285,5.51023,7.12013,52
7,1,0.297528,0.75,0.564674,0.724483,0.75,6.36913,8.00034,195
8,1,0.359038,0.777778,0.608038,0.75633,0.777777,5.11051,6.68151,49
9,1,0.33006,0.8,0.643024,0.774222,0.799999,7.32982,24.921,102
10,1,0.321491,0.818182,0.673501,0.794211,0.818181,6.6905,8.26068,209
11,1,0.344163,0.833333,0.698395,0.794223,0.692307,6.90948,25.1205,67
