rep,c_approach,latency_ms,approach_cycles,lookups,approach_wall_s,eff_rate_hz,lookup_frac,v_cruise_ms
0,0,0,523,523,5.21753,100.239,1,0.25
1,0.146893,0,428,143,4.26415,100.372,0.334112,0.272034
2,0.197405,0,398,132,3.95219,100.704,0.331658,0.279611
3,0.219833,0,380,126,3.78689,100.346,0.331579,0.282975
4,0.230463,0,393,98,3.90437,100.656,0.249364,0.28457
5,0.235237,0,376,94,3.73735,100.606,0.25,0.285286
6,0.237388,0,379,95,3.77106,100.502,0.25066,0.285608
7,0.238418,0,390,98,3.87342,100.686,0.251282,0.285763
8,0.238927,0,394,99,3.9204,100.5,0.251269,0.285839
9,0.239682,0,375,94,3.7348,100.407,0.250667,0.285952
