rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0,0,0,0,0,7.66131,10.0421,0
1,1,0,0,0,0,0,7.62015,10,0
2,1,0,0,0,0,0,7.60064,10.02,0
3,1,0,0,0,0,0,7.62181,10.0009,0
4,1,0,0,0,0,0,7.58089,9.90055,0
5,1,0,0,0,0,0,7.6003,10.0405,0
6,1,0,0,0,0,0,7.64135,10.0004,0
7,1,0,0,0,0,0,7.62091,9.9005,0
8,1,0,0,0,0,0,7.58099,10.0405,0
9,1,0,0,0,0,0,7.62126,9.86044,0
