rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0.282308,0.333333,0.203989,0.300328,0.333333,7.6512,10.0427,239
1,1,0.336045,0.5,0.345621,0.449748,0.5,6.22918,8.06107,74
3,1,0.291084,0.6,0.340262,0.472266,0.333333,10.089,23.0397,249
5,1,0.253194,0.666667,0.337101,0.50065,0.499929,8.84904,22.2211,252
7,1,0.299263,0.714286,0.344799,0.589546,0.599954,6.65008,8.30078,239
9,1,0.28899,0.75,0.344258,0.417983,0.666635,6.81149,19.3005,249
10,1,0.299396,0.777778,0.444129,0.5244,0.714262,6.62863,8.38055,143
11,1,0.429218,0.8,0.512978,0.594414,0.749978,4.79024,6.58092,42
12,1,0.299369,0.818182,0.568566,0.655138,0.777707,5.71137,7.40092,77
13,1,0.330962,0.833333,0.611493,0.695661,0.799636,5.50946,7.12052,66
