rep,c_approach,latency_ms,approach_cycles,lookups,approach_wall_s,eff_rate_hz,lookup_frac,v_cruise_ms
0,0,33,145,145,4.91367,29.5095,1,0.25
1,0.142635,33,198,66,3.93651,50.2983,0.333333,0.271395
2,0.196505,33,184,61,3.65455,50.3482,0.331522,0.279476
3,0.364483,33,159,32,3.12231,50.9238,0.201258,0.304672
4,0.472164,33,151,26,3.0152,50.0796,0.172185,0.320825
5,0.54586,33,145,21,2.84147,51.0299,0.144828,0.331879
6,0.601363,33,140,18,2.76105,50.7053,0.128571,0.340204
7,0.6457,33,137,18,2.73495,50.0924,0.131387,0.346855
8,0.516275,33,146,21,2.88205,50.6584,0.143836,0.327441
9,0.58037,33,142,21,2.81499,50.4443,0.147887,0.337056
