rep,c_approach,latency_ms,approach_cycles,lookups,approach_wall_s,eff_rate_hz,lookup_frac,v_cruise_ms
0,0,66,78,78,5.1747,15.0733,1,0.25
1,0.141039,66,114,38,4.0072,28.4488,0.333333,0.271156
2,0.194127,66,108,36,3.80153,28.4096,0.333333,0.279119
3,0.222147,66,105,35,3.69968,28.3809,0.333333,0.283322
4,0.385751,66,111,23,3.24731,34.1822,0.207207,0.307863
5,0.31934,66,116,23,3.33327,34.8006,0.198276,0.297901
6,0.445198,66,112,19,3.0603,36.5977,0.169643,0.31678
7,0.525323,66,110,16,2.87564,38.2524,0.145455,0.328798
8,0.588111,66,106,16,2.8145,37.6622,0.150943,0.338217
9,0.63851,66,107,14,2.72278,39.2981,0.130841,0.345777
