rep,success,c_approach,c_insert,c_lift,c_place,c_retreat,pick_s,episode_s,observations
0,1,0,0,0,0,0,14.2212,26.7417,0
2,1,0,0,0,0,0,14.5013,24.7806,0
3,1,0,0,0,0,0,5.96053,7.53995,0
4,1,0,0,0,0,0,4.34055,5.9407,0
5,1,0,0,0,0,0,4.38042,5.97906,0
6,1,0,0,0,0,0,3.62004,17.4803,0
7,1,0,0,0,0,0,3.48167,12.7811,0
10,1,0,0,0,0,0,5.15969,17.7197,0
11,1,0,0,0,0,0,4.0612,12.34,0
12,1,0,0,0,0,0,3.92009,5.52064,0
